Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	TL
0	-21757.9	-21772.74	14.83154	0.195221	0.041297	0.252611	0.0256071	0.0180391	0.0704574	0.00240963	0.160526	0.047909	0.171335	0.0886651	0.100612	0.0823732	0.00590599	0.0177588	0.184499	0.0540881	0.01441	0.143821	0.14678	0.186769	0.0597285	0.206933	0.0104925	0.0441498	0.0733704	0.198332	0.0971543	0.055428	0.0101211	0.0370268	0.0384547	0.0707849	0.164412	0.0249055	0.0349093	0.0798234	0.0527503	0.0546182	0.0774806	0.00906806	0.103412	0.149229	0.069373	0.105841	0.210925	0.356015	0.0694536	0.188393	0.452964	0.115358	0.159603	0.272075	3.663679
10	-16024.41	-16040.58	16.16921	0.200434	0.111822	0.313031	0.0655378	0.0652597	0.107579	0.0050287	0.115993	0.110985	0.204283	0.0840638	0.113389	0.09674	0.0288293	0.0365575	0.150627	0.106929	0.0332757	0.170883	0.148651	0.0938453	0.0940138	0.176732	0.0265804	0.0158568	0.0440001	0.0742183	0.0470424	0.119643	0.0118513	0.022646	0.0355678	0.0438586	0.0383065	0.0402744	0.0134433	0.0596704	0.0458835	0.0748669	0.0349925	0.0213889	0.0751272	0.0502035	0.172718	0.319345	0.0765878	0.0471093	0.370784	0.0134563	0.247857	0.261265	0.108103	0.382775	3.529912
20	-15405.37	-15421.81	16.44411	0.203182	0.115931	0.289741	0.122582	0.0983328	0.0848687	0.0145838	0.100649	0.0958048	0.203036	0.0809821	0.0760349	0.0864619	0.107511	0.0606389	0.163582	0.140917	0.0870863	0.139454	0.127912	0.0648483	0.102514	0.205885	0.0341282	0.033147	0.0180229	0.038698	0.0334871	0.055772	0.0152538	0.0147109	0.0184079	0.0228638	0.058182	0.114798	0.0156643	0.0214417	0.0344665	0.089291	0.0410905	0.0103074	0.0299511	0.0302015	0.178992	0.330944	0.0793697	0.0488205	0.343904	0.0179697	0.247857	0.261265	0.108103	0.382775	3.502423
30	-14824.2	-14841.54	17.34382	0.25505	0.0983153	0.234472	0.102827	0.099393	0.0772821	0.116788	0.0861146	0.0899399	0.199991	0.0804172	0.0841898	0.091005	0.0832789	0.113017	0.147455	0.138086	0.124619	0.136662	0.109999	0.088174	0.0840175	0.173227	0.03277	0.0413829	0.0180371	0.0204242	0.0388243	0.0274462	0.0123813	0.037582	0.0237629	0.0167385	0.0395947	0.0654086	0.0364843	0.0139208	0.0197618	0.0387013	0.0182177	0.0125679	0.0395168	0.0446061	0.202707	0.315225	0.0788156	0.0442888	0.344368	0.014595	0.2507	0.252791	0.109343	0.387166	3.412451
40	-14543.39	-14563.7	20.31332	0.129875	0.132723	0.1193	0.0946493	0.130684	0.0911469	0.116919	0.0602194	0.102083	0.199991	0.0592391	0.0800668	0.091005	0.0847023	0.113017	0.139573	0.164127	0.104109	0.123464	0.0732221	0.0846909	0.0787021	0.153191	0.0262154	0.0370807	0.0174455	0.0197219	0.0466499	0.0184477	0.0191488	0.0294466	0.035074	0.0180354	0.0419978	0.0114543	0.0563964	0.0250319	0.0429205	0.0351798	0.0212258	0.0190801	0.0384106	0.0298369	0.209379	0.325601	0.0535508	0.0425873	0.357074	0.0118073	0.218951	0.258673	0.126202	0.396174	3.115501
50	-14537.95	-14556.87	18.92158	0.132647	0.116685	0.129009	0.0970781	0.107716	0.0791597	0.124241	0.100795	0.0804444	0.168533	0.0836767	0.0762271	0.100278	0.106278	0.0979593	0.13565	0.164059	0.152443	0.128439	0.0716911	0.100462	0.0855546	0.170641	0.0188634	0.0420308	0.0234189	0.00774131	0.054697	0.0247176	0.011071	0.0269788	0.043881	0.0138941	0.0993757	0.0356411	0.0505092	0.0123933	0.0326987	0.050408	0.0204342	0.0212938	0.0307652	0.024196	0.215255	0.306674	0.0550537	0.0437826	0.367096	0.0121387	0.218951	0.258673	0.126202	0.396174	3.254675
60	-14519.01	-14539.6	20.59202	0.146335	0.103275	0.101783	0.100989	0.106171	0.0858827	0.103468	0.0696377	0.0802487	0.185752	0.0685418	0.0794783	0.10649	0.0960354	0.097429	0.143701	0.157205	0.12413	0.102669	0.0650203	0.0870721	0.0839825	0.174708	0.0177246	0.0497678	0.0238652	0.0127296	0.0455153	0.0413082	0.0111852	0.0206266	0.0318277	0.0312485	0.0537476	0.0300491	0.0493281	0.0128535	0.0331919	0.0398245	0.0165196	0.0135285	0.0522283	0.0305576	0.217475	0.299157	0.0556213	0.0442339	0.37088	0.0126326	0.226516	0.24975	0.141225	0.382509	3.087631
70	-14522.71	-14542.69	19.98436	0.126087	0.103402	0.0937005	0.118998	0.103052	0.085505	0.129569	0.0577684	0.0897607	0.180477	0.112885	0.0685697	0.119134	0.0960354	0.123486	0.141502	0.150216	0.116979	0.135933	0.0706453	0.0953703	0.0856189	0.148413	0.0173144	0.0232166	0.0309034	0.0233809	0.034346	0.0601992	0.0137387	0.0252997	0.0165241	0.0255903	0.0818162	0.0114577	0.0297518	0.0101824	0.0305704	0.0447953	0.0304779	0.012028	0.0468207	0.0268755	0.208614	0.286969	0.0575575	0.0359543	0.398787	0.0121179	0.230292	0.237241	0.14358	0.388887	3.148397
80	-14508.24	-14529.26	21.01829	0.112866	0.11436	0.0964329	0.103248	0.114552	0.0739462	0.130201	0.0882697	0.104019	0.147263	0.0772892	0.0683339	0.119134	0.10064	0.100501	0.11525	0.109507	0.105017	0.133427	0.0786707	0.0963755	0.0748667	0.17093	0.0204989	0.0340651	0.013292	0.011389	0.0355424	0.0585946	0.017513	0.0325406	0.034381	0.02586	0.0715324	0.0117144	0.0420738	0.0133037	0.0380678	0.0419252	0.0192283	0.0204519	0.0430075	0.0249227	0.227411	0.28236	0.056633	0.0353767	0.392381	0.00583846	0.229078	0.235989	0.148098	0.386835	3.045004
90	-14510.13	-14530.88	20.74728	0.12757	0.0914078	0.094506	0.104368	0.100513	0.090462	0.141702	0.0714776	0.102886	0.1668	0.0928621	0.0683339	0.104303	0.0908428	0.0960758	0.136627	0.122412	0.0944315	0.119262	0.0651177	0.0790008	0.0828247	0.166667	0.0253545	0.0389931	0.0276624	0.0196187	0.0363992	0.0387	0.0228634	0.034376	0.0286792	0.0400086	0.0851259	0.0143403	0.0356729	0.0172556	0.0329863	0.0357374	0.0225535	0.0099062	0.0523837	0.043035	0.226373	0.281071	0.0585164	0.0368718	0.390591	0.00657683	0.226209	0.245556	0.146243	0.381991	3.072105
100	-14508.54	-14529.03	20.48629	0.111111	0.131008	0.0913121	0.0885218	0.0996779	0.0640856	0.0949361	0.0688015	0.0964977	0.200931	0.0603138	0.0931655	0.10303	0.0987617	0.115172	0.13326	0.122412	0.118501	0.120486	0.0851975	0.0970193	0.098918	0.169607	0.0288712	0.0435711	0.0191809	0.0177953	0.0527655	0.046163	0.0243754	0.0286883	0.0240367	0.0222026	0.0794301	0.0193841	0.0427222	0.0150955	0.0282205	0.0577765	0.0173722	0.0110561	0.0308624	0.0259087	0.226274	0.274529	0.058491	0.0346521	0.391842	0.0142114	0.226209	0.245556	0.146243	0.381991	3.098204
110	-14512.55	-14532.39	19.84764	0.129842	0.115678	0.110525	0.0896674	0.110895	0.0845785	0.11157	0.0794758	0.0963743	0.160102	0.100886	0.0733397	0.10303	0.106112	0.114765	0.115287	0.142102	0.11115	0.130712	0.0847085	0.0844119	0.106718	0.143166	0.0212688	0.0317621	0.0222842	0.0193704	0.0358767	0.0376766	0.0160367	0.0391743	0.0307491	0.0206611	0.106539	0.0277688	0.0363747	0.0163496	0.0432802	0.0437559	0.0253942	0.00833892	0.0332759	0.0410364	0.227066	0.275489	0.0568648	0.0331061	0.393213	0.0142612	0.226209	0.245556	0.146243	0.381991	3.162069
120	-14502.98	-14524.54	21.55409	0.126864	0.0887664	0.0943462	0.0863273	0.1005	0.0735079	0.119807	0.0653277	0.0828286	0.178291	0.0774299	0.0805888	0.0732637	0.0960729	0.0992949	0.127302	0.117821	0.11115	0.130712	0.0784398	0.0844119	0.0737759	0.180039	0.0200771	0.0486618	0.0214489	0.01305	0.0321054	0.0473234	0.0220756	0.0401537	0.031068	0.0326503	0.0860416	0.0181402	0.0384493	0.0150466	0.0421428	0.049144	0.0125704	0.0180567	0.0293367	0.0270137	0.228845	0.277649	0.0622266	0.0222314	0.396294	0.0127538	0.223974	0.243129	0.154681	0.378216	2.991424
130	-14508.87	-14529.3	20.43505	0.136184	0.143042	0.0981372	0.116498	0.1005	0.060619	0.121003	0.063124	0.088302	0.186104	0.0836809	0.0906838	0.0917443	0.0960729	0.116936	0.149596	0.118832	0.108365	0.138682	0.0738171	0.0744261	0.0818605	0.159064	0.0268047	0.0309116	0.020026	0.0143894	0.0482496	0.032588	0.00834571	0.0365312	0.0350146	0.0276828	0.0689826	0.013763	0.0386023	0.0144592	0.0349572	0.0378425	0.0157622	0.0156348	0.0512668	0.0342416	0.228516	0.277249	0.062137	0.0221994	0.395724	0.0141751	0.223964	0.244263	0.154674	0.377099	3.103329
140	-14513.06	-14533.7	20.64694	0.112776	0.0962972	0.089545	0.11497	0.0838953	0.0869702	0.121003	0.0771086	0.0981241	0.186104	0.0752831	0.0756808	0.0880848	0.0831518	0.153306	0.116104	0.13682	0.108365	0.127061	0.0858732	0.0893165	0.0859765	0.175831	0.0176871	0.0427407	0.0164099	0.0108083	0.0522707	0.0409733	0.0228273	0.0295524	0.0248664	0.0207972	0.0782574	0.0166574	0.0551538	0.0124704	0.0203099	0.0467662	0.0289428	0.00783892	0.0282847	0.0408773	0.227891	0.27649	0.0668486	0.0221386	0.392496	0.0141363	0.228003	0.242992	0.153869	0.375136	3.082139
