Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-7277.501	-7054.462	-223.0393	32.07251	1	0.108308	0.0654001	0.138278	0.615443	0.0434431	0.00238568	0.488005	0.0624944	0.0204215	0.0165737	0.00376984	0.240756	0.00312252	0.00582829	0.0724819	0.331658	0.132417	0.0767804	0.118775	0.119237	0.024015	0.07827	0.182427	0.0403204	0.117881	0.0349319	0.0989716	0.0168563	0.118128	0.0708674	0.133124	0.00911558	0.0434778	0.110063	0.153578	0.039524	0.0581816	0.290904	0.0370795	0.158194	0.0327025	0.0860888	0.1484818	0.1256939	0.1843	0.16302	0.0967531	0.322163	0.0747431	0.15902	42.95416	0.08414118	0	44.14584	0.01651297	0.136954	0.476752	1	2.38629	0.302647	0.410388	0.0120687	0.274896	0.2098351	0.4009872
1	1	-10842.36	-10605.86	-236.5029	9.525716	1	0.397184	0.357393	0.647726	0.686141	0.0975798	0.0526102	1.30273	0.0622035	0.63517	0.491928	0.24905	0.0162649	0.219564	0.00868574	0.787501	0.444291	0.00701158	0.341984	0.288366	0.784586	0.0427502	0.00101472	0.047721	0.213116	0.716918	0.582757	0.071357	0.650165	1.5363	0.817193	0.102631	1.37158	0.595469	0.704297	0.907081	0.0402456	0.37367	1.09919	0.428607	0.124437	0.0431963	0.310329	0.3144898	0.08610072	0.0243841	0.0970147	0.0119459	0.270563	0.219906	0.376186	9.607071	0.02582712	0	44.49343	0.08676544	0.136954	0.476752	1	2.38629	0.360175	0.0278568	0.477548	0.134421	0.1119278	0.2307479
2	0	-4530.061	-4409.579	-120.4821	10.94481	0.2070817	0.0646607	0.0188396	0.0409157	0.133444	0.0255748	0.0035697	0.102276	0.00906546	0.00771982	0.00946706	0.00140881	0.0170418	0.000668676	0.000933981	0.0198546	0.0775734	0.0291267	0.0140083	0.0270215	0.0208445	0.0885789	0.0474654	0.078788	0.0329332	0.0149255	0.00584078	0.0900859	0.00472396	0.0106241	0.0557493	0.0195503	0.0149373	0.00427187	0.00817541	0.0109416	0.00168171	0.0797923	0.00138085	0.00976751	0.134888	0.0022511	0.0154327	0.03753627	0.01233074	0.0794771	0.200755	0.0812075	0.050218	0.458158	0.130185	37.64589	0.1073703	1	42.67466	0.07292512	0.000672659	0.0379583	0.401886	3.55948	0.27128	0.414153	0.0258021	0.288765	0.119701	0.8969872
3	1	-5814.939	-5701.864	-113.0752	5.82773	0.5581407	0.0936778	0.0428608	0.178058	0.179473	0.00991483	0.0130974	0.127631	0.0122474	0.071176	0.116258	0.0597424	0.00779216	0.0304943	0.0322251	0.158153	0.0713619	0.00210446	0.0646375	0.0410152	0.186064	0.00849206	9.45475e-05	0.0273505	0.0264834	0.00966878	0.0342415	0.014177	0.113013	0.0186716	0.121226	0.10688	0.0725747	0.0381674	0.020546	0.0204951	0.0121141	0.0140424	0.066	0.0096649	0.126443	0.0177047	0.0418026	0.09193769	0.07413641	0.0104437	0.0612566	0.00800088	0.168844	0.137232	0.614223	10.23321	0.06389339	4	40.34572	0.2933855	0.0446062	0.288188	0.858363	2.80884	0.262345	0.035742	0.481131	0.220782	0.1380298	0.4628956
4	0	-3978.72	-3910.508	-68.21272	9.812132	0.255624	0.0275941	0.0188064	0.0247495	0.0335919	0.0207955	0.00433223	0.0421932	0.00539301	0.0110101	0.00725633	0.0011548	0.00676531	0.000283163	0.000295748	0.00831884	0.0238496	0.0343512	0.00797705	0.0348835	0.0309298	0.0364405	0.0179016	0.0276814	0.00518556	0.00283305	0.0450401	0.0302865	0.00134305	0.00531441	0.0343562	0.00576148	0.0125393	0.00497383	0.00186706	0.000829561	0.000260703	0.00939036	0.00256282	0.00113959	0.0579661	0.00325487	0.0112901	0.01484531	-0.02502894	0.0519846	0.232795	0.0719172	0.0457226	0.483406	0.114174	27.5651	0.1261885	3	43.40347	0.1892196	0.00238429	0.0707805	0.513197	3.41364	0.302193	0.283228	0.132702	0.281876	0.1011595	1.24742
5	1	-4561.458	-4484.625	-76.83378	5.244	0.2096308	0.0589452	0.0114538	0.0595744	0.047671	0.0094959	0.0144059	0.0376976	0.00594264	0.0306429	0.0501445	0.0170177	0.00871019	0.0102702	0.00981863	0.0342416	0.108997	0.0011643	0.0356352	0.0988407	0.0705794	0.00512931	0.000320321	0.000558435	0.0159221	0.00593191	0.0490857	0.00403777	0.0255972	0.0122388	0.0204583	0.00602248	0.0152353	0.0037347	0.0316929	0.00415174	0.0302499	6.02698e-05	0.00449995	0.107756	0.0335432	0.00587018	0.00917517	0.03624417	0.03454669	0.00927128	0.0705854	0.00651094	0.186103	0.340267	0.387263	13.35722	0.1222984	4	42.11967	0.231556	0.000729463	0.0395097	0.408323	3.55144	0.329689	0.102346	0.266194	0.30177	0.1568451	0.77974
6	0	-3854.277	-3790.724	-63.55312	16.49681	0.1993403	0.0264243	0.0188375	0.0113284	0.0264571	0.0197042	0.00243367	0.0341012	0.00409457	0.0121191	0.005339	0.0031025	0.00814558	0.000272601	0.00057989	0.0174347	0.0265125	0.035506	0.00557779	0.0483403	0.0301891	0.0281212	0.010093	0.0258763	0.0021557	0.00119348	0.0241615	0.0188548	0.0106377	0.00558969	0.0220128	0.00609197	0.00348605	0.00296663	0.00229883	0.00858826	0.00116406	0.00197561	0.0144693	5.65523e-06	0.00312642	0.0049943	0.0295681	0.01148743	0.03991896	0.0235686	0.289339	0.0346925	0.0209277	0.545709	0.085763	16.85578	0.0911879	3	45.98585	0.1612677	0.000519198	0.0333957	0.381934	3.58415	0.30663	0.295108	0.163588	0.234675	0.1311069	0.6955235
7	1	-4102.024	-4056.333	-45.69138	6.094192	0.27525	0.0536346	0.00533485	0.0208356	0.0293399	0.00788741	0.0134866	0.0294282	0.00483316	0.0274858	0.0294929	0.00775776	0.0234896	0.0185325	0.00649723	0.0375477	0.0436131	0.00178308	0.0179875	0.0157182	0.0228698	0.0101698	0.000248624	0.0101784	0.00517685	0.00301277	0.0225327	0.000879573	0.0264004	0.00362666	0.0032643	0.00856713	0.0223262	0.00191479	0.00582561	0.00748951	0.0122209	0.00208973	0.0137557	0.00882544	0.0596375	0.00619798	0.000466547	0.01423508	0.0413921	0.00618542	0.201655	0.0041074	0.0584992	0.58475	0.144803	13.1577	0.1653109	4	40.48647	0.250357	0.00350281	0.0854384	0.5518	3.35926	0.337577	0.134388	0.285659	0.242377	0.206703	0.7997509
8	0	-3792.4	-3735.657	-56.74284	8.922949	0.1756905	0.0185433	0.0165727	0.00629411	0.00973768	0.0284112	0.00211959	0.0409883	0.00672997	0.0234917	0.0059144	0.00496128	0.00740386	0.000171194	0.00247826	0.00801059	0.00816318	0.0388609	0.00284582	0.0240653	0.0181802	0.0248241	0.00870078	0.0403469	0.00285785	0.00105017	0.0142884	0.00371469	0.00403246	0.0064957	0.02176	0.00309183	0.0185472	0.0052981	0.0118298	0.000504348	3.99202e-05	0.00724109	0.00355339	0.000371752	0.0227132	0.0178766	0.00444554	0.01552768	0.0236742	0.0105436	0.659886	0.0132563	0.00936216	0.291391	0.0155614	15.74218	0.09747723	3	47.92545	0.1737578	0.000204267	0.0210323	0.317322	3.66144	0.31362	0.280878	0.143913	0.261588	0.1211514	0.80459
9	1	-3851.586	-3783.723	-67.8635	3.11951	0.2035906	0.0651915	0.00834736	0.0182895	0.0765064	0.0149046	0.0347589	0.0443519	0.0107229	0.0508364	0.113143	0.0181559	0.0314865	0.0468075	0.0143483	0.097453	0.0492777	0.00794823	0.015798	0.0224625	0.0360134	0.0111178	0.000245868	0.0314847	0.027971	0.0194587	0.0481173	0.00233339	0.02939	0.0352522	0.00371086	0.0307	0.0138881	0.00991382	0.00868895	0.0118438	0.0629541	0.000192076	0.0132948	0.0271094	0.0276071	0.0115932	0.00107703	0.02899653	-0.002051372	0.00559336	0.381241	0.00383145	0.0286735	0.517316	0.0633448	15.41995	0.2019378	5	41.92975	0.2564122	0.000599984	0.0358723	0.392964	3.57056	0.321036	0.287048	0.119536	0.272379	0.1998864	1.010263
