Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-7277.501	-7054.462	-223.0393	32.07251	1	0.108308	0.0654001	0.138278	0.615443	0.0434431	0.00238568	0.488005	0.0624944	0.0204215	0.0165737	0.00376984	0.240756	0.00312252	0.00582829	0.0724819	0.331658	0.132417	0.0767804	0.118775	0.119237	0.024015	0.07827	0.182427	0.0403204	0.117881	0.0349319	0.0989716	0.0168563	0.118128	0.0708674	0.133124	0.00911558	0.0434778	0.110063	0.153578	0.039524	0.0581816	0.290904	0.0370795	0.158194	0.0327025	0.0860888	0.1484818	0.1256939	0.1843	0.16302	0.0967531	0.322163	0.0747431	0.15902	42.95416	0.08414118	0	44.14584	0.01651297	0.136954	0.476752	1	2.38629	0.302647	0.410388	0.0120687	0.274896	0.2098351	0.4009872
10	-4530.061	-4409.579	-120.4821	10.94481	0.2070817	0.0646607	0.0188396	0.0409157	0.133444	0.0255748	0.0035697	0.102276	0.00906546	0.00771982	0.00946706	0.00140881	0.0170418	0.000668676	0.000933981	0.0198546	0.0775734	0.0291267	0.0140083	0.0270215	0.0208445	0.0885789	0.0474654	0.078788	0.0329332	0.0149255	0.00584078	0.0900859	0.00472396	0.0106241	0.0557493	0.0195503	0.0149373	0.00427187	0.00817541	0.0109416	0.00168171	0.0797923	0.00138085	0.00976751	0.134888	0.0022511	0.0154327	0.03753627	0.01233074	0.0794771	0.200755	0.0812075	0.050218	0.458158	0.130185	37.64589	0.1073703	1	42.67466	0.07292512	0.000672659	0.0379583	0.401886	3.55948	0.27128	0.414153	0.0258021	0.288765	0.119701	0.8969872
20	-3978.72	-3910.508	-68.21272	9.812132	0.255624	0.0275941	0.0188064	0.0247495	0.0335919	0.0207955	0.00433223	0.0421932	0.00539301	0.0110101	0.00725633	0.0011548	0.00676531	0.000283163	0.000295748	0.00831884	0.0238496	0.0343512	0.00797705	0.0348835	0.0309298	0.0364405	0.0179016	0.0276814	0.00518556	0.00283305	0.0450401	0.0302865	0.00134305	0.00531441	0.0343562	0.00576148	0.0125393	0.00497383	0.00186706	0.000829561	0.000260703	0.00939036	0.00256282	0.00113959	0.0579661	0.00325487	0.0112901	0.01484531	-0.02502894	0.0519846	0.232795	0.0719172	0.0457226	0.483406	0.114174	27.5651	0.1261885	3	43.40347	0.1892196	0.00238429	0.0707805	0.513197	3.41364	0.302193	0.283228	0.132702	0.281876	0.1011595	1.24742
30	-3854.277	-3790.724	-63.55312	16.49681	0.1993403	0.0264243	0.0188375	0.0113284	0.0264571	0.0197042	0.00243367	0.0341012	0.00409457	0.0121191	0.005339	0.0031025	0.00814558	0.000272601	0.00057989	0.0174347	0.0265125	0.035506	0.00557779	0.0483403	0.0301891	0.0281212	0.010093	0.0258763	0.0021557	0.00119348	0.0241615	0.0188548	0.0106377	0.00558969	0.0220128	0.00609197	0.00348605	0.00296663	0.00229883	0.00858826	0.00116406	0.00197561	0.0144693	5.65523e-06	0.00312642	0.0049943	0.0295681	0.01148743	0.03991896	0.0235686	0.289339	0.0346925	0.0209277	0.545709	0.085763	16.85578	0.0911879	3	45.98585	0.1612677	0.000519198	0.0333957	0.381934	3.58415	0.30663	0.295108	0.163588	0.234675	0.1311069	0.6955235
40	-3792.4	-3735.657	-56.74284	8.922949	0.1756905	0.0185433	0.0165727	0.00629411	0.00973768	0.0284112	0.00211959	0.0409883	0.00672997	0.0234917	0.0059144	0.00496128	0.00740386	0.000171194	0.00247826	0.00801059	0.00816318	0.0388609	0.00284582	0.0240653	0.0181802	0.0248241	0.00870078	0.0403469	0.00285785	0.00105017	0.0142884	0.00371469	0.00403246	0.0064957	0.02176	0.00309183	0.0185472	0.0052981	0.0118298	0.000504348	3.99202e-05	0.00724109	0.00355339	0.000371752	0.0227132	0.0178766	0.00444554	0.01552768	0.0236742	0.0105436	0.659886	0.0132563	0.00936216	0.291391	0.0155614	15.74218	0.09747723	3	47.92545	0.1737578	0.000204267	0.0210323	0.317322	3.66144	0.31362	0.280878	0.143913	0.261588	0.1211514	0.80459
50	-3814.409	-3735.525	-78.88351	8.408072	0.206706	0.0260784	0.0323202	0.00878364	0.016257	0.0275562	0.00532272	0.0522171	0.00795796	0.0269797	0.0226866	0.00157226	0.00372562	0.000271711	0.00422705	0.0210978	0.0162539	0.0305026	0.0059786	0.0348146	0.0295572	0.0660464	0.0118063	0.0823796	0.00428331	0.000396239	0.0229205	0.0910818	0.00986607	0.00370883	0.0779353	0.096521	0.00465714	0.0175138	0.00432825	0.000443407	0.00160176	0.0201901	0.0525372	0.000445831	0.0589836	0.0525784	0.0385465	0.03245645	-0.04361499	0.0158764	0.603769	0.0155965	0.00509882	0.345155	0.0145047	13.88552	0.1323795	6	43.75634	0.258367	0.000664555	0.0377316	0.400932	3.56067	0.294425	0.293103	0.127551	0.284921	0.08876454	1.491356
60	-3790.09	-3722.581	-67.5094	10.34367	0.203417	0.0574598	0.0269371	0.0175478	0.00589868	0.0358404	0.0060578	0.0553248	0.00783627	0.0297869	0.0121642	0.00344962	0.00636024	0.0004475	0.0106073	0.0344852	0.0310751	0.0420695	0.00396388	0.0432694	0.024291	0.0492856	0.0250521	0.057958	0.00385761	0.000740663	0.0200139	0.00800598	0.0206178	0.00845813	0.0666436	0.00895055	0.00547071	0.00419651	0.00638309	0.00391755	0.00152487	0.0675779	0.0081588	0.00135055	0.0340868	0.0472687	0.0131588	0.02230253	0.06137688	0.0183505	0.569998	0.00575123	0.00498757	0.378748	0.0221641	11.85535	0.139261	5	44.4067	0.2340532	0.000596521	0.0357697	0.392517	3.57112	0.278234	0.309044	0.126182	0.28654	0.2006378	0.6940912
70	-3788.713	-3726.941	-61.77159	6.838193	0.2099619	0.0625322	0.0188458	0.00212146	0.00499497	0.0059632	0.0075648	0.0163476	0.0109801	0.0202625	0.0103201	0.00724113	0.00509911	0.000358649	0.00434249	0.0336993	0.014029	0.0507014	0.00305688	0.0365243	0.0255893	0.0542228	0.0159509	0.039393	0.00857697	0.00166466	0.018817	0.00373486	0.00998344	0.00422337	0.0319294	0.0710448	0.00323474	0.00512487	0.0143354	0.00240718	0.000100002	0.0340648	0.0110292	0.00694156	0.0219831	0.0447979	0.00909956	0.02157566	0.0008523612	0.016999	0.466625	0.0072452	0.00577401	0.476228	0.0271289	12.59388	0.1920573	7	44.34344	0.2881457	0.000737078	0.039713	0.409154	3.5504	0.290402	0.316138	0.140878	0.252582	0.1929096	0.9955816
80	-3778.783	-3727.572	-51.2107	7.141385	0.1925414	0.0267526	0.018363	0.00343738	0.00805192	0.00769012	0.00271255	0.0100812	0.0141087	0.0255952	0.0146661	0.00715358	0.00577833	0.000236985	0.00374143	0.0325044	0.0514691	0.0422705	0.00207088	0.0367528	0.0261797	0.0355787	0.0120948	0.044474	0.00146966	0.00100269	0.0217537	0.00555637	0.0237071	0.00219292	0.0499623	0.00890272	0.0456465	0.00897755	0.0120803	0.00226548	0.000124532	0.0299544	0.00569376	0.0284872	0.0456651	0.0305559	0.0175599	0.01997681	0.02001194	0.0174667	0.579304	0.00441656	0.00613931	0.365098	0.0275754	12.66565	0.1463751	8	45.33671	0.2276409	0.000406522	0.0295864	0.363913	3.60609	0.293795	0.30565	0.113861	0.286694	0.1663871	0.8797266
90	-3782.374	-3728.51	-53.8638	8.137146	0.1937472	0.0232352	0.0346195	0.00184419	0.0188651	0.00911234	0.00456437	0.0168455	0.0084415	0.0283062	0.0172868	0.00716628	0.00702998	0.000149894	0.00230915	0.0269188	0.0711009	0.0228214	0.00309829	0.055544	0.0325154	0.0478818	0.0120115	0.0424849	0.0069063	0.00166435	0.0252582	0.00902865	0.00372819	0.00562864	0.04355	0.00988218	0.00963759	0.0050965	0.0132692	0.0019788	8.7225e-06	0.0277918	0.00847093	0.0107921	0.0430064	0.0340364	0.0140003	0.01591201	0.03079961	0.0124644	0.661024	0.00840196	0.00453642	0.291553	0.0220206	13.41306	0.1138947	8	43.55368	0.2301502	0.000425083	0.0302479	0.367142	3.60218	0.290588	0.303003	0.120822	0.285586	0.1446943	0.7871402
