Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-12.16828	0	-12.16828	21.30908	1	0.171198	0.0269314	0.0162175	0.0180236	0.110913	0.0705445	0.0613095	0.0101628	0.0682915	0.0107256	0.0521001	0.133196	0.0397366	0.0352556	0.0833822	0.131764	0.00369892	0.0472924	0.07750895	0.06717983	0.0757243	0.0865102	0.121073	0.01129	0.427927	0.277476	43.86277	0.006197046	0.136954	0.476752	1	2.38629	0.196683	0.16325	0.135319	0.504748	0.07337688	0.08445502
10	-17.32865	0	-17.32865	27.43067	2.998684	0.0791479	0.00779189	0.00948843	0.0115565	0.0203061	0.192359	0.128458	0.0680918	0.139292	0.032207	0.112293	0.0154205	0.101422	0.0678584	0.0240362	0.241395	0.00810232	0.0218523	0.09936816	0.03619625	0.109106	0.0564138	0.121038	0.0104694	0.463481	0.239492	42.80297	0.02159728	0.38916	0.731455	1.08251	1.79688	0.438008	0.153423	0.108205	0.300363	0.05779354	0.3736972
20	-4.316388	0	-4.316388	12.30379	2.452658	0.0522434	0.0423872	0.0109067	0.00660054	0.0044954	0.108338	0.0990214	0.0331627	0.102738	0.019759	0.0872379	0.0294542	0.0224926	0.0279	0.0132841	0.126943	0.00615122	0.000386093	0.0782101	0.1003484	0.0745436	0.067858	0.237258	0.00424711	0.442073	0.17402	14.31346	0.04289902	0.341922	0.695877	1.07807	1.88413	0.171286	0.155015	0.215359	0.45834	0.1432474	0.299475
30	-9.374398	0	-9.374398	4.65148	3.965884	0.0964423	0.0273976	0.0198207	0.00431443	0.00691408	0.0132096	0.0995071	0.0962436	0.088834	0.135392	0.0260916	0.0731018	0.374244	0.160567	0.0184853	0.153988	0.0053418	0.00100845	0.0549278	0.1681449	0.0476025	0.113355	0.13494	0.0018386	0.3932	0.309063	5.393295	0.1189826	0.452478	0.774021	1.08441	1.6891	0.10297	0.226563	0.263912	0.406554	0.2871276	0.4143895
40	9.250537	0	9.250537	4.289567	5.209745	0.0184874	0.00553149	0.0165426	0.000551838	0.00789792	0.0150675	0.035782	0.0475236	0.0639937	0.0305387	0.0147739	0.00440116	0.0314049	0.107972	0.0573415	0.0388032	0.0349303	0.0344798	0.05107796	0.1511298	0.0650448	0.148664	0.133481	0.00213861	0.354159	0.296512	6.107705	0.09066573	0.510562	0.808818	1.08292	1.5977	0.0299913	0.217264	0.249918	0.502827	0.2417956	0.3749685
50	-4.20748	0	-4.20748	3.263946	3.508539	0.00423839	0.0855582	0.0185159	0.0166311	0.200511	0.130363	0.00302271	0.150063	0.0186975	0.0672074	0.0670208	0.0090957	0.0199745	0.0035249	0.0587594	0.0581323	0.00463203	0.0479003	0.06991287	0.08608187	0.0686499	0.166221	0.0638933	0.00408675	0.335927	0.361223	31.6094	0.1173102	0.425141	0.756293	1.08409	1.73448	0.0159018	0.0406748	0.355775	0.587649	0.203392	0.5767688
60	-3.247311	0	-3.247311	4.014327	2.84872	0.00247248	0.208704	0.0355924	0.00969367	0.0519234	0.0792024	0.0128623	0.125701	0.183173	0.152197	0.168866	0.124408	0.0161534	0.00714435	0.0288337	0.00490877	0.0262938	0.00274281	0.05074238	0.05488843	0.0881432	0.088722	0.15113	0.00415128	0.55306	0.114794	7.709269	0.05331656	0.377209	0.722792	1.08166	1.81834	0.0180733	0.140727	0.293368	0.547832	0.108205	0.4927366
70	0.1472928	0	0.1472928	4.74295	1.635881	0.00214219	0.105328	0.0897783	0.00248984	0.138428	0.0741615	0.0161442	0.0387465	0.0752512	0.1829	0.0298299	0.035114	0.00719363	0.0101439	0.113096	0.00140279	0.167959	0.124553	0.0852091	-0.007771698	0.319681	0.0671743	0.112237	0.00611802	0.337962	0.156828	5.021646	0.04595434	0.245571	0.609715	1.0575	2.08722	0.0123707	0.0845339	0.254358	0.648737	0.03818265	1.20354
80	-1.945189	0	-1.945189	5.934519	2.618014	0.00381883	0.0168652	0.142758	0.00450922	0.165752	0.110756	0.0205488	0.104423	0.027711	0.0914065	0.0879776	0.0301315	0.0144533	0.0463233	0.04492	0.0315832	0.0457104	0.141306	0.07399451	-0.02851094	0.299461	0.13972	0.0741678	0.00857306	0.384114	0.093964	8.952987	0.03669274	0.357367	0.707915	1.07985	1.85487	0.0238322	0.0873927	0.353993	0.534782	0.008181799	4.484679
90	-23.45339	0	-23.45339	2.476487	1.519618	0.0104794	0.379695	0.639107	0.0445884	0.31521	0.704189	0.0237699	0.35561	0.199806	0.195473	0.0360666	0.0938801	0.537061	0.00807504	0.164553	0.109489	0.565297	0.202378	0.1895601	-0.04762824	0.349945	0.136133	0.100549	0.0100183	0.255	0.148354	3.979379	0.05910733	0.228337	0.59179	1.05155	2.12832	0.0522706	0.0802796	0.564167	0.303283	0.01147909	5.149131
100	-15.95407	0	-15.95407	3.274473	4.48887	0.0261908	0.16421	0.102254	0.0126042	0.29204	0.110313	0.00945066	0.0602094	0.0256612	0.0695835	0.0503639	0.399624	0.259325	0.0538963	0.0660904	0.430445	0.307367	0.0232657	0.2263327	-0.04921632	0.194382	0.0617763	0.0366144	0.00540045	0.5004	0.201427	5.707971	0.0527724	0.479356	0.790582	1.08406	1.646	0.025772	0.0277732	0.451293	0.495162	0.003556073	14.84008
110	-10.45741	0	-10.45741	4.448695	12.2355	0.0349758	0.235398	0.0678608	0.0542706	0.144446	0.0168671	0.0494696	0.189823	0.067027	0.143761	0.0194297	0.174788	0.309369	0.277059	0.078696	0.101541	0.0782459	0.0224819	0.1081987	-0.07140065	0.253096	0.103123	0.0567523	0.00430285	0.399604	0.183123	5.835648	0.07795831	0.663573	0.885389	1.06815	1.38289	0.0790566	0.017925	0.225734	0.677284	0.006557664	11.88812
120	-17.6247	0	-17.6247	5.636322	15.6979	0.0394409	0.387319	0.166928	0.151581	0.0706656	0.0308091	0.0564918	0.247189	0.0581882	0.112516	0.0605393	0.0326748	0.423872	0.138094	0.273619	0.473492	0.0677825	0.018682	0.1618058	-0.0560821	0.203054	0.089992	0.0907127	0.00907465	0.383433	0.223733	6.814208	0.06114342	0.699879	0.900915	1.06283	1.33638	0.17845	0.0377367	0.578613	0.2052	0.005061324	12.08052
130	-15.28483	0	-15.28483	5.913297	17.2238	0.0633832	0.657134	0.102803	0.0906026	0.0514545	0.0678335	0.0692479	0.244098	0.0988313	0.129783	0.0136206	0.0943639	0.00962739	0.119429	0.063517	0.591882	0.072177	0.0410396	0.1057447	-0.01566824	0.12185	0.109289	0.0543832	0.0183199	0.370224	0.325934	6.276333	0.02439193	0.712487	0.9061	1.06084	1.32057	0.217569	0.206224	0.489436	0.0867715	0.008723693	2.796056
140	-23.76553	0	-23.76553	8.001727	20.5905	0.0485768	0.411483	0.0975449	0.0394574	0.0766459	0.0451952	0.903049	0.348678	0.0517614	0.0924919	0.00599373	0.423667	0.0314591	0.267152	0.115222	0.116576	0.154437	0.272785	0.156827	-0.04293174	0.188484	0.159334	0.106047	0.0506671	0.222144	0.273325	8.509627	0.05492262	0.735425	0.915273	1.05706	1.29225	0.161078	0.42071	0.262082	0.15613	0.01199087	4.580368
150	-24.94027	0	-24.94027	8.826912	31.58603	0.0206264	0.484403	0.108043	0.0949828	0.154859	0.154933	0.368043	0.354762	0.10415	0.333697	0.176102	0.000628791	0.223567	0.217925	0.157773	0.046378	0.0775158	0.0411594	0.2030121	0.004919818	0.241248	0.224326	0.0632891	0.0183381	0.326992	0.125806	13.6645	0.007083306	0.783762	0.933548	1.04839	1.2343	0.102614	0.662579	0.105696	0.129112	0.01200312	0.5901218
160	-17.14975	0	-17.14975	7.935234	35.99386	0.0253762	0.176047	0.533823	0.0423383	0.124655	0.0502266	0.115392	0.299374	0.0178731	0.227535	0.117378	0.013109	0.0604922	0.015641	0.0934476	0.0436031	0.0428546	0.259561	0.1617896	0.002390591	0.250112	0.309062	0.117149	0.0124798	0.19794	0.113258	10.31604	0.009734273	0.796798	0.938243	1.04591	1.21905	0.382505	0.354426	0.131678	0.13139	0.01212486	0.8028356
170	-10.65228	0	-10.65228	8.371058	28.556	0.00415154	0.0591648	0.0407129	0.0116398	0.0301051	0.0680503	0.129687	0.0730153	0.0176128	0.0344832	0.0695827	0.150227	0.17202	0.124268	0.0848839	0.277847	0.0164867	0.055034	0.0685072	-0.008057063	0.241382	0.336141	0.0656123	0.00772864	0.218421	0.130714	17.39001	0.02007544	0.773168	0.929661	1.05037	1.2468	0.349604	0.394232	0.198915	0.0572487	0.01201837	1.670395
180	-28.88645	0	-28.88645	14.7421	26.04927	0.0013153	0.0164332	0.0187007	0.315974	0.358601	0.461034	0.133998	0.440848	0.186445	0.0334923	0.244762	0.103526	0.0899118	0.0939998	0.0145679	0.18124	0.237644	0.36696	0.1449164	0.004421776	0.180846	0.204345	0.0585536	0.00475697	0.447103	0.104395	21.19561	0.009189734	0.763099	0.925906	1.05221	1.25879	0.641512	0.237873	0.0894481	0.0311667	0.01361151	0.6751443
190	-34.93179	0	-34.93179	14.39186	45.66659	0.0144208	0.0346768	0.209994	0.287318	0.221343	0.40595	0.0586594	0.0431543	0.0928948	0.0660072	0.283281	0.325175	0.294878	0.0877896	0.143166	0.140926	0.553749	0.665285	0.22265	-0.004012922	0.128276	0.12887	0.0399619	0.00467511	0.670459	0.027758	30.69943	0.01829672	0.818671	0.945906	1.0416	1.19383	0.529056	0.294978	0.114914	0.0610528	0.0142838	1.280942
200	-22.03203	0	-22.03203	24.22719	65.05164	0.0539422	0.0415581	0.507	0.133913	0.177762	0.165634	0.0448981	0.0805778	0.210486	0.041821	0.315251	0.00481166	0.0193814	0.0600346	0.0221249	0.0541793	0.0327358	0.0346808	0.1191396	-0.04853931	0.30698	0.122674	0.0944888	0.00377355	0.437737	0.034347	41.58317	0.05543655	0.847096	0.955474	1.03575	1.16168	0.52896	0.375444	0.0477901	0.0478057	0.00689724	8.037497
210	-8.762013	0	-8.762013	9.227557	424.6902	0.0889583	0.0823901	0.081123	0.0260285	0.0553292	0.0844847	0.0434367	0.170935	0.047597	0.0116148	0.0614543	0.045329	0.0438472	0.020275	0.00747507	0.221502	0.0020362	0.17436	0.06703911	-0.01777825	0.345078	0.0431346	0.115963	0.00463617	0.479161	0.012027	18.14686	0.05465552	0.939011	0.98358	1.01507	1.06233	0.514098	0.190115	0.183932	0.111856	0.03687728	1.482092
220	-29.52575	0	-29.52575	6.584178	1605.236	0.209833	0.154495	0.11033	0.411608	0.250256	0.0997078	0.0986693	0.631923	0.119906	0.0444551	0.643721	0.0848994	0.195383	0.118278	0.416019	0.123248	0.0530097	0.48902	0.2339857	-0.03153513	0.394299	0.0542837	0.284052	0.00514374	0.250372	0.0118492	13.10387	0.07158707	0.968455	0.99172	1.00792	1.0319	0.277614	0.112977	0.504935	0.104474	0.04005194	1.787356
230	-30.8502	0	-30.8502	8.217737	2116.444	0.0789305	0.273007	0.158247	0.349904	0.110414	0.0177185	0.328463	0.82604	0.130546	0.102723	0.345885	0.0998559	0.0989113	0.0188003	0.137502	0.301004	0.0519667	0.0778837	0.1590477	0.06844697	0.302321	0.0514096	0.525167	0.00390411	0.101522	0.0156762	41.19436	0.02291648	0.972507	0.992808	1.00692	1.02776	0.526196	0.118568	0.296622	0.0586136	0.09136344	0.2508276
240	-6.122489	0	-6.122489	21.32545	3078.14	0.0695478	0.0531682	0.043058	0.0104823	0.0770958	0.00239978	0.0295081	0.0138736	0.119239	0.00894977	0.00978373	0.0428822	0.0220258	0.0174073	0.0248946	0.0850828	0.121292	0.0164508	0.04862473	0.04386957	0.413109	0.139657	0.269239	0.0147573	0.120151	0.0430872	37.26883	0.03399327	0.977183	0.994056	1.00576	1.023	0.438625	0.381177	0.169482	0.0107153	0.07786284	0.4365789
250	-8.174864	0	-8.174864	10.82326	9348.516	0.0516702	0.0779752	0.099361	0.0239203	0.081628	0.0231733	0.018745	0.0201085	0.156771	0.00793108	0.00589189	0.0372838	0.0018521	0.00461565	0.0514708	0.0244692	0.0563226	0.0439453	0.05374433	-0.09224971	0.318389	0.131185	0.253536	0.00853302	0.101632	0.186726	42.64005	0.2074918	0.986884	0.996612	1.00333	1.01318	0.692097	0.16205	0.130683	0.0151694	0.1152421	1.800486
260	6.099064	0	6.099064	4.796048	5804.545	0.0516782	0.00862676	0.0115571	0.0127114	0.0227168	0.0161404	0.0107288	0.0499427	0.0701459	0.0297925	0.0650223	0.0170804	0.00546831	0.0250931	0.017473	0.0666136	0.0116296	0.00220407	0.03425109	0.132524	0.228464	0.138172	0.150195	0.00580411	0.0113087	0.466056	41.69586	0.03145268	0.983366	0.99569	1.00421	1.01673	0.338655	0.253707	0.0897161	0.317922	0.1639767	0.1918119
270	-18.90924	0	-18.90924	11.32794	18737.66	0.088336	0.0326568	0.0109065	0.0275668	0.0193305	0.024623	0.300219	0.548994	0.0218194	0.0033844	0.123448	0.0617931	0.0741689	0.0406569	0.0275835	0.0253128	0.0111748	0.000472358	0.06828571	-0.0337102	0.101329	0.2259	0.256302	0.00198389	0.0193422	0.395143	47.46698	0.1695797	0.990729	0.997613	1.00236	1.0093	0.272109	0.158969	0.0622895	0.506632	0.1358695	1.248107
280	-9.29461	0	-9.29461	7.655519	57499.8	0.0879544	0.101864	0.029018	0.00774469	0.207167	0.10769	0.182799	0.01325	0.0487344	0.0127896	0.0606819	0.052048	0.139406	0.00620501	0.132488	0.00890439	0.0333435	0.0330233	0.05109917	-0.1556111	0.125072	0.203465	0.0601384	0.0012897	0.0786383	0.531397	43.8871	0.243117	0.994704	0.998641	1.00135	1.00531	0.32315	0.144082	0.0913502	0.441418	0.08750588	2.778293
290	-10.14141	0	-10.14141	2.02949	84333.44	0.0229695	0.0183924	0.130907	0.00542869	0.216696	0.180506	0.0692471	0.00990172	0.0578885	0.0422991	0.0411705	0.163006	0.0827805	0.143259	0.0250318	0.0814501	0.0551102	0.0299053	0.1189484	-0.1782132	0.10204	0.182977	0.051829	0.00220928	0.21921	0.441736	17.81782	0.2662415	0.995626	0.998879	1.00111	1.00438	0.490575	0.0600482	0.0378952	0.411481	0.08802827	3.0245
300	-13.91556	0	-13.91556	8.114885	92610.74	0.112779	0.00279361	0.0406011	0.00359306	0.155552	0.113292	0.175303	0.0524284	0.0521261	0.199751	0.26157	0.205861	0.06752	0.35108	0.00604321	0.0243866	0.0434939	0.00652569	0.1386195	0.1636413	0.208557	0.223958	0.14837	0.00334787	0.0505168	0.365251	9.327551	0.008357849	0.995826	0.99893	1.00106	1.00418	0.570915	0.124348	0.190233	0.114504	0.1719992	0.04859238
310	-28.85398	0	-28.85398	9.939511	207637.8	0.407158	0.0251387	0.0305336	0.00595093	0.6087	0.551396	0.121597	0.128038	0.0278721	0.279315	0.319925	0.674108	0.166818	0.0675842	0.0202318	0.36559	0.0255532	0.00542226	0.2603964	0.1540033	0.35361	0.1169	0.137135	0.00351183	0.0457274	0.343116	29.69462	0.002292957	0.997212	0.999286	1.00071	1.00279	0.921138	0.0141286	0.0520137	0.0127201	0.1562963	0.01467058
320	-20.61274	0	-20.61274	5.186944	247708.5	0.133901	0.00812039	0.22783	0.00022651	0.392218	0.176024	0.0948681	0.135354	0.0109974	0.0261976	0.0470717	0.597185	0.101377	0.122618	0.143995	0.0509525	0.268691	0.0190708	0.102114	0.229197	0.208564	0.24226	0.215807	0.00982453	0.110278	0.213267	46.8823	0.002741499	0.997447	0.999347	1.00065	1.00256	0.404896	0.0695787	0.103877	0.421648	0.2319385	0.01181994
330	-10.38667	0	-10.38667	5.448534	374455.6	0.247255	0.0231408	0.0719249	0.00829076	0.227843	0.19516	0.0654292	0.0317288	0.0263615	0.0148816	0.122598	0.147869	0.100477	0.134802	0.0332999	0.0672556	0.0381785	0.0148508	0.1009789	0.1422715	0.146414	0.405879	0.347303	0.00593402	0.0329035	0.0615659	12.88135	0.01721023	0.997924	0.999469	1.00053	1.00208	0.540999	0.148202	0.093101	0.217698	0.1594817	0.1079135
