Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-5883.067	-5887.179	4.112599	0.8731153	1	0.0309051	0.0149904	0.0396875	0.259918	0.190453	0.271857	0.0080341	0.00819266	0.147808	0.0580922	0.294269	0.016616	0.286378	0.0217739	0.0499207	0.51277	0.0801596	0.0468426	0.09874565	-0.02208001	0.297787	0.460792	0.0228187	0.0469209	0.0526056	0.119076	0.07815555	0.136954	0.476752	1	2.38629	0.106945	0.263572	0.517314	0.112169	0.05607555	1.393755
10	-4274.066	-4275.265	1.199138	0.7756902	0.3201661	0.286551	0.058879	0.0570895	0.138626	0.329448	0.162691	0.0891666	0.144529	0.165511	0.233948	0.0892662	0.169887	0.0488527	0.137456	0.185934	0.172166	0.0257738	0.17043	0.1294271	-0.1222026	0.187766	0.656909	0.0131218	0.0363616	0.0526813	0.0531599	0.1729588	0.00707303	0.120246	0.628165	3.24452	0.168552	0.316491	0.134892	0.380066	0.05075628	3.407634
20	-4023.26	-4021.725	-1.535351	0.5302603	0.2534789	0.343245	0.0978051	0.0413297	0.0595292	0.298684	0.191736	0.111776	0.266728	0.0734067	0.338275	0.0305856	0.236548	0.0820558	0.10354	0.0888885	0.103688	0.135918	0.170228	0.1834208	0.04083644	0.13554	0.680481	0.0109066	0.0338346	0.0841708	0.0550674	0.1761918	0.00227787	0.0692136	0.508765	3.41974	0.212768	0.302405	0.108805	0.376022	0.2170283	0.8118382
30	-3825.769	-3820.71	-5.059858	0.5339	0.2455126	0.160769	0.149618	0.0273634	0.070213	0.224836	0.166468	0.165893	0.112258	0.0393808	0.283417	0.260512	0.236517	0.118936	0.121353	0.146657	0.0976363	0.179714	0.33107	0.1774419	0.09709277	0.0597192	0.730492	0.0123186	0.0222346	0.152636	0.0225996	0.2718313	0.00190917	0.0634689	0.491926	3.4427	0.27212	0.296536	0.108551	0.322793	0.368924	0.7368218
40	-3724.065	-3715.46	-8.604645	0.4957576	0.1983933	0.214521	0.135985	0.160855	0.291161	0.278029	0.115321	0.263526	0.161272	0.0415291	0.470643	0.0309818	0.448028	0.169428	0.0515113	0.167933	0.229969	0.317456	0.24127	0.1987948	-0.3245716	0.0202705	0.557383	0.00731568	0.0151163	0.381265	0.0186498	0.4382164	0.000502309	0.0328537	0.379452	3.58719	0.290412	0.304658	0.135135	0.269795	0.1136448	3.856019
50	-3716.475	-3710.341	-6.133658	0.506781	0.2150333	0.213886	0.114974	0.0530193	0.126055	0.210245	0.126162	0.224386	0.196027	0.0586544	0.348129	0.0785478	0.19759	0.194414	0.0826636	0.298486	0.242699	0.0992962	0.326091	0.2480169	-0.3826647	0.0168665	0.567063	0.00463939	0.00999577	0.387887	0.0135481	0.425459	0.000860709	0.0428733	0.421744	3.53452	0.28958	0.285993	0.134748	0.289679	0.04279435	9.941943
60	-3723.584	-3713.383	-10.20081	0.4071675	0.2136614	0.27891	0.156771	0.0378998	0.0419054	0.479513	0.230967	0.472482	0.411988	0.0505731	0.536099	0.101389	0.115061	0.0753961	0.136951	0.338319	0.180056	0.106515	0.381332	0.2620311	-0.2746826	0.00801695	0.553929	0.00607315	0.0168154	0.407292	0.00787338	0.3787799	0.000825952	0.0420097	0.418364	3.5388	0.308876	0.299147	0.129462	0.262515	0.1040974	3.638708
70	-3720.42	-3708.68	-11.73986	0.5297387	0.1816	0.335289	0.28224	0.0619954	0.114308	0.610406	0.244621	0.59203	0.280853	0.0383275	0.543687	0.0395057	0.107424	0.25813	0.0483847	0.0508745	0.329371	0.0800358	0.75124	0.2838003	-0.1493793	0.00800937	0.505073	0.00709896	0.0153323	0.459948	0.00453824	0.26124	0.000263844	0.0238803	0.333963	3.64189	0.311392	0.290915	0.132558	0.265134	0.1118608	2.335403
80	-3713.681	-3711.441	-2.239555	0.4753512	0.185322	0.22136	0.132172	0.15325	0.186864	0.320408	0.225208	0.19275	0.147433	0.0644264	0.392463	0.0104747	0.118145	0.137726	0.0621255	0.0472228	0.0729673	0.277769	0.439377	0.1340188	0.07919257	0.00598888	0.483254	0.0124742	0.00901886	0.484708	0.00455592	0.05230205	0.000307401	0.02576	0.344279	3.62965	0.290499	0.302872	0.139621	0.267008	0.1314946	0.3977505
90	-3720.011	-3712.695	-7.316327	0.5843834	0.1396318	0.208527	0.110318	0.126268	0.0727873	0.223971	0.14714	0.153945	0.146508	0.0664083	0.962858	0.0169943	0.0922951	0.24594	0.0866517	0.124474	0.378916	0.249863	0.427569	0.1364222	0.1823801	0.00625441	0.53581	0.00805748	0.00886407	0.436147	0.00486738	0.02021845	2.67647e-05	0.0076532	0.210376	3.78194	0.308834	0.29652	0.126577	0.268069	0.2025986	0.09979562
100	-3720.28	-3713.164	-7.116069	0.7194032	0.1947647	0.389359	0.126393	0.0671478	0.120312	0.34828	0.220776	0.205643	0.223407	0.0565028	0.696038	0.151542	0.256007	0.120687	0.046625	0.0248087	0.0152036	0.293355	0.903233	0.2031072	0.0621813	0.00716677	0.455878	0.00698181	0.00571541	0.516244	0.00801339	0.03715772	0.000441212	0.0308109	0.369857	3.59889	0.334847	0.281803	0.128586	0.254764	0.09933902	0.3740495
110	-3714.689	-3710.878	-3.811416	0.6462599	0.1808397	0.461886	0.0977252	0.0262179	0.0621953	0.265931	0.0734693	0.173086	0.176513	0.06894	0.672986	0.0189625	0.15208	0.368634	0.0982328	0.0332097	0.00924378	0.419908	0.307	0.1262978	-0.01392049	0.0109852	0.471016	0.00779469	0.00364819	0.49931	0.00724606	0.04692151	0.000255538	0.0235044	0.331839	3.6444	0.286302	0.320822	0.140491	0.252385	0.03300102	1.42182
120	-3713.461	-3705.945	-7.516144	0.6362734	0.1911261	0.364684	0.106758	0.0612866	0.161452	0.864032	0.209769	0.640497	0.147495	0.0496035	0.489075	0.222896	0.0939733	0.045296	0.0447584	0.434406	0.0293975	0.195345	0.303254	0.1909996	-0.02471204	0.0132209	0.515103	0.010526	0.0030848	0.452208	0.00585776	0.0452008	0.000385491	0.0288181	0.360104	3.61069	0.291378	0.302648	0.120484	0.28549	0.02048876	2.206127
130	-3718.69	-3716.005	-2.685012	0.5978059	0.2062777	0.340417	0.118209	0.00993477	0.070332	0.297789	0.0948685	0.209834	0.227862	0.0641771	0.355064	0.106781	0.465306	0.402222	0.157249	0.117338	0.0602133	0.191093	0.289735	0.1768597	-0.02189526	0.0137881	0.511038	0.00851087	0.00314943	0.454717	0.00879595	0.03355485	0.000655403	0.0374738	0.399843	3.56203	0.295964	0.295102	0.120095	0.288839	0.01165959	2.877875
140	-3719.759	-3714.932	-4.82743	0.6096725	0.2161696	0.215478	0.0938451	0.176892	0.460499	0.358914	0.157307	0.199888	0.352568	0.0860031	0.332248	0.0677709	0.366932	0.08043	0.0417055	0.292534	0.0897442	0.191	0.408888	0.2028358	-0.02026334	0.0115943	0.493699	0.00986863	0.0133059	0.463678	0.00785416	0.03721706	0.000890247	0.0435933	0.424528	3.53099	0.316503	0.280219	0.152817	0.250461	0.01695372	2.195215
150	-3728.194	-3713.82	-14.37354	0.805883	0.1748911	0.656068	0.0992979	0.110303	0.736235	0.234062	0.153351	0.183559	0.63273	0.0335868	0.299239	0.0397989	0.0506881	0.083712	0.0492937	0.0886239	1.61463	0.188387	0.908784	0.3293579	-0.05443695	0.0126973	0.540663	0.00690121	0.0174143	0.416142	0.00618221	0.07449141	0.000197053	0.0206603	0.315048	3.66409	0.293674	0.307788	0.135879	0.262659	0.02005446	3.714456
160	-3722.853	-3712.013	-10.8402	0.7017517	0.2265013	0.271915	0.0999069	0.00796163	0.0426902	1.06736	0.642885	0.684959	0.227475	0.0469709	0.424337	0.120752	0.368481	0.0418639	0.112914	0.173334	0.203021	0.174189	0.388632	0.2905996	-0.03661552	0.00971409	0.512736	0.00654473	0.0265039	0.434418	0.010084	0.08133328	0.00119122	0.0503258	0.449245	3.49924	0.301918	0.288357	0.139693	0.270032	0.04471776	1.818814
170	-3720.87	-3709.723	-11.14646	0.348	0.2209458	0.331133	0.260161	0.0359999	0.214149	0.459067	0.260244	0.423467	0.169989	0.062686	0.88808	0.0267129	0.200033	0.192163	0.0987774	0.324207	0.0259857	0.573029	0.519349	0.3470186	-0.02465821	0.0085957	0.548386	0.00580889	0.0145766	0.419032	0.00360096	0.05409139	0.00102201	0.0466652	0.43609	3.51622	0.291902	0.323945	0.116222	0.267932	0.02943318	1.837769
180	-3720.345	-3708.8	-11.54493	0.6493459	0.1640443	0.0985438	0.356031	0.176041	0.371912	0.614984	0.488136	0.444484	0.086305	0.0717241	0.591741	0.218882	0.235847	0.144683	0.0697535	0.0350571	0.165472	0.517072	0.289827	0.3480712	0.06146185	0.0121982	0.544685	0.00509655	0.0100366	0.424994	0.00299039	0.04077179	0.000116854	0.0159369	0.283666	3.70028	0.310052	0.298794	0.125796	0.265359	0.1022336	0.3988099
