Iteration	Posterior	Likelihood	Prior	alpha	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	p_inv	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	TL
0	-18411.18	-18415.98	4.79806	1.886915	0.424353	0.00432849	0.316971	0.0558265	0.0141702	0.313547	0.071787	0.218707	0.106452	0.186126	0.27395	0.169135	0.0118051	0.0403992	0.0360832	0.016659	0.173603	0.0985037	0.147346	0.253311	0.0206208	0.115468	0.0455469	0.171542	0.0177034	0.128746	0.0630076	0.177584	0.0217563	0.0292	0.0131666	0.0923892	0.0451771	0.11079	0.0859305	0.0671661	0.000517817	0.057059	0.118067	0.0167868	0.000169316	0.011023	0.0942867	0.358015	0.193348	0.00957376	0.243161	0.0660717	0.12983	0.3609037	0.344306	0.370532	0.012058	0.273105	0.279391	0.642423	1.06688	2.0113	4.436769
10	-14340.06	-14346.64	6.579067	0.7047055	0.288106	0.00858496	0.347145	0.110615	0.129409	0.287357	0.1724	0.374713	0.225226	0.222831	0.104936	0.102532	0.0160649	0.0682702	0.0956265	0.0331733	0.162174	0.118872	0.147689	0.100935	0.0435943	0.070262	0.135227	0.0362013	0.0216578	0.0431949	0.0571703	0.0752148	0.0210729	0.14376	0.0234566	0.0418265	0.0469762	0.0150791	0.0140203	0.0730948	0.000906491	0.083201	0.104434	0.025624	0.000397788	0.0154672	0.05017	0.0513381	0.406731	0.0228122	0.171392	0.347363	0.000363857	0.4367171	0.343992	0.333683	0.0494685	0.272857	0.0751936	0.365742	0.9266	2.63246	4.258668
20	-13762.61	-13759.19	-3.424188	1.050551	0.200431	0.0196979	0.534028	0.121672	0.144449	0.108374	0.25516	0.404169	0.204137	0.362923	0.0894633	0.0874122	0.0235773	0.122757	0.130238	0.217603	0.194341	0.167667	0.133011	0.066515	0.111191	0.034618	0.285429	0.0466761	0.0614689	0.0524855	0.0513162	0.0943368	0.0284874	0.166426	0.0397402	0.109966	0.0136195	0.0037395	0.0386334	0.0722379	0.00124035	0.0273171	0.116956	0.147789	0.000954301	0.0907188	0.0760186	0.0351684	0.421463	0.0541955	0.128913	0.359944	0.000315204	0.4367171	0.350023	0.339532	0.0578652	0.25258	0.146929	0.491436	1.0079	2.35374	5.258993
30	-13434.8	-13430.67	-4.135169	0.9272237	0.224736	0.0242143	0.536161	0.111949	0.127295	0.127274	0.160508	0.167021	0.0727167	0.330851	0.103378	0.0949137	0.0943492	0.124104	0.192352	0.249058	0.159196	0.211506	0.139421	0.0709909	0.134631	0.0444715	0.403352	0.0637637	0.0744775	0.0659576	0.0222542	0.0451442	0.0532176	0.237074	0.0264196	0.184114	0.0360417	0.0165079	0.0277524	0.0506249	0.00428361	0.0685589	0.125561	0.152144	0.000525486	0.113918	0.0573023	0.038721	0.444986	0.0497346	0.0590003	0.390673	0.0168853	0.4367171	0.342037	0.373055	0.0565451	0.228363	0.122214	0.453728	0.986811	2.43725	5.330091
40	-13326.81	-13313.29	-13.51646	0.9820119	0.279624	0.0583618	0.53298	0.0818188	0.256015	0.169534	0.188899	0.1197	0.134564	0.382377	0.110355	0.121591	0.206869	0.235961	0.209031	0.248653	0.240303	0.176679	0.205146	0.0790402	0.124127	0.0914109	0.450026	0.0898955	0.0922073	0.178837	0.014045	0.0530856	0.0540218	0.243053	0.0410874	0.0776861	0.0835314	0.0178575	0.0386789	0.0484971	0.0320985	0.0473724	0.137308	0.197895	0.00094559	0.0915511	0.0254986	0.033747	0.408226	0.0503873	0.0541263	0.409575	0.0439388	0.4347889	0.350549	0.37336	0.0560912	0.219999	0.133351	0.471277	0.996954	2.39842	6.268221
50	-13171.35	-13152.45	-18.90261	0.9496523	0.281665	0.120855	0.231554	0.104173	0.18665	0.183326	0.23246	0.177501	0.152768	0.423002	0.140035	0.18467	0.251926	0.197768	0.217519	0.318012	0.266428	0.186948	0.225846	0.0786454	0.164816	0.140276	0.479101	0.0930603	0.120606	0.369152	0.150847	0.0538533	0.0641839	0.109283	0.0923977	0.0895205	0.144403	0.0279622	0.0203798	0.0487689	0.0760061	0.0454547	0.137308	0.0558679	0.00242475	0.121208	0.038201	0.0334493	0.404624	0.0494483	0.0366313	0.425699	0.0501476	0.4347889	0.349839	0.372604	0.0580043	0.219554	0.126802	0.461077	0.991129	2.42099	6.806836
60	-13153.81	-13130.91	-22.90184	0.7201064	0.302733	0.112055	0.196855	0.137728	0.250159	0.149628	0.22508	0.126054	0.164331	0.423002	0.126094	0.153149	0.29802	0.304514	0.297887	0.35282	0.269104	0.24899	0.257908	0.0875526	0.166856	0.101231	0.521751	0.0916244	0.0597563	0.266179	0.334072	0.0385024	0.0999746	0.0678971	0.0486501	0.151459	0.148458	0.0198324	0.063678	0.0400199	0.0857042	0.0711362	0.203838	0.0225836	0.0020593	0.0944708	0.0233623	0.0358836	0.364112	0.053047	0.0268438	0.466316	0.0537971	0.3292961	0.335781	0.373431	0.0707459	0.220041	0.0784871	0.372864	0.932097	2.61655	7.206759
70	-13140.63	-13117.3	-23.33684	0.8100548	0.3194	0.170382	0.195821	0.120284	0.284341	0.14007	0.223648	0.108546	0.181804	0.476584	0.146806	0.107415	0.278343	0.243311	0.251736	0.315082	0.290144	0.199454	0.256041	0.0867761	0.168858	0.175046	0.622651	0.040281	0.0631591	0.190857	0.227172	0.0615573	0.0605474	0.109543	0.0701982	0.225656	0.18889	0.0335612	0.0448793	0.0382458	0.0531276	0.10141	0.169809	0.0502626	0.0135651	0.117716	0.0272772	0.04117	0.373815	0.0528312	0.0275591	0.478743	0.0258821	0.3304334	0.335438	0.373049	0.0706736	0.220839	0.0976965	0.411151	0.959702	2.53145	7.250259
80	-13145.33	-13123.7	-21.6227	0.9511009	0.349914	0.195719	0.185788	0.0967298	0.240558	0.128922	0.223648	0.122574	0.181804	0.420293	0.0765823	0.178265	0.204549	0.180167	0.224061	0.33587	0.277967	0.17796	0.305984	0.134445	0.149485	0.127451	0.713288	0.0320503	0.0528155	0.230702	0.24742	0.0357799	0.0572095	0.0804791	0.0868238	0.189771	0.159268	0.0489124	0.0624326	0.0867403	0.0530559	0.0468146	0.161646	0.0440076	0.0189895	0.137727	0.0141779	0.0390026	0.354135	0.056139	0.0261083	0.47188	0.0527345	0.3496346	0.340391	0.378558	0.0717171	0.209334	0.127097	0.461544	0.9914	2.41996	7.078845
90	-13121.58	-13102.05	-19.52914	0.8718309	0.277707	0.153157	0.153458	0.128758	0.240558	0.13585	0.288661	0.193881	0.159068	0.306241	0.126719	0.159872	0.181548	0.245249	0.180997	0.343007	0.305875	0.210103	0.240994	0.13411	0.174799	0.114732	0.463739	0.0636805	0.0897718	0.208342	0.196778	0.0462498	0.0501487	0.0536537	0.0994482	0.283252	0.147493	0.0317661	0.0433452	0.0505385	0.0576725	0.0495571	0.188586	0.0249408	0.10685	0.135543	0.0227867	0.0387796	0.363557	0.055818	0.025959	0.469182	0.0467044	0.3496346	0.339763	0.37786	0.0715849	0.210792	0.110727	0.434523	0.97503	2.47972	6.869488
100	-13133.93	-13113.88	-20.05253	0.9271863	0.214946	0.214367	0.190873	0.158551	0.26754	0.127234	0.273527	0.14959	0.15418	0.324534	0.118109	0.167216	0.237865	0.259859	0.193202	0.32359	0.287701	0.187834	0.225248	0.145651	0.172531	0.110884	0.448114	0.0732298	0.0820648	0.178832	0.200908	0.0806639	0.0432256	0.0965433	0.0775677	0.233868	0.176816	0.0241497	0.071007	0.0681972	0.0976424	0.0839365	0.126544	0.0299967	0.071839	0.124177	0.0274732	0.0389896	0.365526	0.0541687	0.0226359	0.471723	0.0469573	0.3873769	0.339763	0.37786	0.0715849	0.210792	0.122206	0.453716	0.986803	2.43727	6.921827
110	-13130.79	-13112.61	-18.18148	0.9230811	0.336276	0.17492	0.214272	0.117585	0.228236	0.136266	0.245701	0.13552	0.144085	0.284737	0.128154	0.132242	0.211231	0.294314	0.194053	0.32359	0.241643	0.256969	0.219682	0.0753267	0.137624	0.100523	0.494745	0.0968127	0.0930159	0.239934	0.189266	0.036893	0.0688747	0.0443332	0.0788208	0.213859	0.195453	0.016745	0.0835448	0.0286328	0.0288456	0.0784059	0.183274	0.0458396	0.067673	0.0884609	0.028345	0.0385284	0.361202	0.053528	0.0341967	0.466143	0.0464019	0.3873769	0.335457	0.380325	0.0720519	0.212167	0.121362	0.452345	0.985986	2.44031	6.734723
120	-13125.01	-13108.36	-16.65289	0.8911755	0.271464	0.144166	0.163267	0.129257	0.271177	0.123445	0.23836	0.175363	0.161661	0.33015	0.105608	0.134275	0.172767	0.185987	0.170745	0.369009	0.256477	0.208143	0.232942	0.0916048	0.13127	0.153641	0.471172	0.0852076	0.0207246	0.231919	0.201066	0.0851851	0.0564333	0.0513264	0.0830297	0.179225	0.135898	0.0368978	0.0841809	0.0755308	0.0828015	0.0674985	0.0953285	0.0543945	0.104337	0.117861	0.0410666	0.0382467	0.358561	0.0567308	0.0339466	0.466659	0.0458563	0.3873769	0.344355	0.365289	0.0725617	0.217795	0.114762	0.441408	0.979336	2.46449	6.581863
130	-13125.91	-13109.66	-16.25552	0.8983322	0.321138	0.155892	0.20876	0.106831	0.237895	0.161887	0.201353	0.160009	0.171811	0.394176	0.100512	0.138965	0.153351	0.178156	0.230712	0.353538	0.279183	0.164851	0.247026	0.0776236	0.124413	0.132538	0.415404	0.0729293	0.0697544	0.16375	0.184957	0.115673	0.0774266	0.062475	0.0883825	0.217205	0.125644	0.0140815	0.0339951	0.0445691	0.0860819	0.0618612	0.13845	0.0392633	0.0809235	0.10901	0.0396675	0.0396964	0.367838	0.055369	0.0196267	0.478732	0.0387385	0.3873769	0.344355	0.365289	0.0725617	0.217795	0.116249	0.443905	0.980876	2.45897	6.542126
140	-13132.59	-13109.2	-23.38721	0.7565284	0.305828	0.158332	0.193541	0.185488	0.280085	0.163565	0.326262	0.172718	0.174593	0.420994	0.107556	0.136327	0.27159	0.260915	0.238827	0.388188	0.283434	0.203356	0.280029	0.0976962	0.138045	0.132878	0.373	0.077547	0.0466503	0.166576	0.1691	0.0507685	0.0746587	0.0769127	0.058359	0.204348	0.135684	0.045442	0.0439993	0.0544379	0.117064	0.0509272	0.274879	0.0256137	0.121853	0.0735717	0.0936545	0.0372851	0.38217	0.0542242	0.0205953	0.457588	0.0481377	0.3651228	0.346111	0.367152	0.0678317	0.218906	0.0862811	0.389025	0.944141	2.58055	7.255295
150	-13139.14	-13110.22	-28.91441	0.7163169	0.31101	0.182409	0.19778	0.165931	0.250679	0.120815	0.316429	0.175365	0.152513	0.335059	0.178836	0.156046	0.262626	0.334429	0.226571	0.391222	0.368378	0.183044	0.224904	0.0901116	0.221176	0.119468	0.574688	0.0758371	0.021818	0.274848	0.207544	0.0911596	0.0446766	0.0915071	0.105693	0.334749	0.107074	0.0720469	0.0429505	0.0935896	0.0965879	0.0997289	0.195813	0.0488217	0.122027	0.0807421	0.061314	0.0266484	0.38105	0.0540653	0.0238166	0.456247	0.0581726	0.3651228	0.341896	0.369518	0.0682689	0.220317	0.0776764	0.371128	0.930768	2.62043	7.808015
160	-13144.71	-13122.04	-22.66552	0.7813397	0.307315	0.19178	0.246774	0.173784	0.151036	0.261379	0.266348	0.193454	0.15909	0.331571	0.160258	0.141845	0.178493	0.18999	0.214295	0.301009	0.249941	0.249558	0.231897	0.104782	0.179204	0.159724	0.495673	0.071132	0.0155602	0.196836	0.195143	0.0316586	0.0276116	0.0639051	0.133461	0.269978	0.117333	0.0459025	0.0470436	0.0881841	0.070178	0.130375	0.195331	0.0669157	0.126262	0.0930993	0.0580173	0.0381597	0.38595	0.0547605	0.0204261	0.462114	0.0385902	0.3651228	0.35688	0.361105	0.0667146	0.215301	0.0915823	0.399511	0.951647	2.55726	7.183126
170	-13131.24	-13105.47	-25.77322	0.8628754	0.355055	0.138667	0.204313	0.126744	0.250005	0.109729	0.254786	0.171792	0.194924	0.448763	0.1241	0.18898	0.275973	0.245866	0.270103	0.355128	0.388786	0.24531	0.295874	0.100681	0.176343	0.11594	0.523198	0.0566104	0.0435711	0.268352	0.203888	0.0188478	0.0330021	0.0775711	0.0664698	0.168122	0.108407	0.0327892	0.0292645	0.122536	0.0399685	0.103931	0.213773	0.0399913	0.135831	0.105344	0.0645682	0.0405663	0.351208	0.0498559	0.0217143	0.499398	0.0372581	0.3651228	0.356006	0.360221	0.0690002	0.214773	0.108851	0.431268	0.972962	2.48692	7.493897
