Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates[19]	branch_rates[20]	branch_rates[21]	branch_rates[22]	branch_rates[23]	branch_rates[24]	branch_rates[25]	branch_rates[26]	branch_rates[27]	branch_rates[28]	branch_rates[29]	branch_rates[30]	branch_rates[31]	branch_rates[32]	branch_rates[33]	branch_rates[34]	branch_rates[35]	branch_rates[36]	branch_rates[37]	branch_rates[38]	branch_rates[39]	branch_rates[40]	branch_rates[41]	branch_rates[42]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	num_samp_anc	origin_time	psi	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-10842.36	-10605.86	-236.5029	9.525716	1	0.397184	0.357393	0.647726	0.686141	0.0975798	0.0526102	1.30273	0.0622035	0.63517	0.491928	0.24905	0.0162649	0.219564	0.00868574	0.787501	0.444291	0.00701158	0.341984	0.288366	0.784586	0.0427502	0.00101472	0.047721	0.213116	0.716918	0.582757	0.071357	0.650165	1.5363	0.817193	0.102631	1.37158	0.595469	0.704297	0.907081	0.0402456	0.37367	1.09919	0.428607	0.124437	0.0431963	0.310329	0.3144898	0.08610072	0.0243841	0.0970147	0.0119459	0.270563	0.219906	0.376186	9.607071	0.02582712	0	44.49343	0.08676544	0.136954	0.476752	1	2.38629	0.360175	0.0278568	0.477548	0.134421	0.1119278	0.2307479
10	-5814.939	-5701.864	-113.0752	5.82773	0.5581407	0.0936778	0.0428608	0.178058	0.179473	0.00991483	0.0130974	0.127631	0.0122474	0.071176	0.116258	0.0597424	0.00779216	0.0304943	0.0322251	0.158153	0.0713619	0.00210446	0.0646375	0.0410152	0.186064	0.00849206	9.45475e-05	0.0273505	0.0264834	0.00966878	0.0342415	0.014177	0.113013	0.0186716	0.121226	0.10688	0.0725747	0.0381674	0.020546	0.0204951	0.0121141	0.0140424	0.066	0.0096649	0.126443	0.0177047	0.0418026	0.09193769	0.07413641	0.0104437	0.0612566	0.00800088	0.168844	0.137232	0.614223	10.23321	0.06389339	4	40.34572	0.2933855	0.0446062	0.288188	0.858363	2.80884	0.262345	0.035742	0.481131	0.220782	0.1380298	0.4628956
20	-4561.458	-4484.625	-76.83378	5.244	0.2096308	0.0589452	0.0114538	0.0595744	0.047671	0.0094959	0.0144059	0.0376976	0.00594264	0.0306429	0.0501445	0.0170177	0.00871019	0.0102702	0.00981863	0.0342416	0.108997	0.0011643	0.0356352	0.0988407	0.0705794	0.00512931	0.000320321	0.000558435	0.0159221	0.00593191	0.0490857	0.00403777	0.0255972	0.0122388	0.0204583	0.00602248	0.0152353	0.0037347	0.0316929	0.00415174	0.0302499	6.02698e-05	0.00449995	0.107756	0.0335432	0.00587018	0.00917517	0.03624417	0.03454669	0.00927128	0.0705854	0.00651094	0.186103	0.340267	0.387263	13.35722	0.1222984	4	42.11967	0.231556	0.000729463	0.0395097	0.408323	3.55144	0.329689	0.102346	0.266194	0.30177	0.1568451	0.77974
30	-4102.024	-4056.333	-45.69138	6.094192	0.27525	0.0536346	0.00533485	0.0208356	0.0293399	0.00788741	0.0134866	0.0294282	0.00483316	0.0274858	0.0294929	0.00775776	0.0234896	0.0185325	0.00649723	0.0375477	0.0436131	0.00178308	0.0179875	0.0157182	0.0228698	0.0101698	0.000248624	0.0101784	0.00517685	0.00301277	0.0225327	0.000879573	0.0264004	0.00362666	0.0032643	0.00856713	0.0223262	0.00191479	0.00582561	0.00748951	0.0122209	0.00208973	0.0137557	0.00882544	0.0596375	0.00619798	0.000466547	0.01423508	0.0413921	0.00618542	0.201655	0.0041074	0.0584992	0.58475	0.144803	13.1577	0.1653109	4	40.48647	0.250357	0.00350281	0.0854384	0.5518	3.35926	0.337577	0.134388	0.285659	0.242377	0.206703	0.7997509
40	-3851.586	-3783.723	-67.8635	3.11951	0.2035906	0.0651915	0.00834736	0.0182895	0.0765064	0.0149046	0.0347589	0.0443519	0.0107229	0.0508364	0.113143	0.0181559	0.0314865	0.0468075	0.0143483	0.097453	0.0492777	0.00794823	0.015798	0.0224625	0.0360134	0.0111178	0.000245868	0.0314847	0.027971	0.0194587	0.0481173	0.00233339	0.02939	0.0352522	0.00371086	0.0307	0.0138881	0.00991382	0.00868895	0.0118438	0.0629541	0.000192076	0.0132948	0.0271094	0.0276071	0.0115932	0.00107703	0.02899653	-0.002051372	0.00559336	0.381241	0.00383145	0.0286735	0.517316	0.0633448	15.41995	0.2019378	5	41.92975	0.2564122	0.000599984	0.0358723	0.392964	3.57056	0.321036	0.287048	0.119536	0.272379	0.1998864	1.010263
50	-3802.71	-3754.903	-47.80658	2.865751	0.2002306	0.0729862	0.0075789	0.0133831	0.0652611	0.0076435	0.0214123	0.0368584	0.00696956	0.040022	0.00916841	0.0176236	0.0281492	0.0360575	0.0198449	0.0742279	0.0268255	0.0143192	0.00374683	0.023078	0.0384056	0.0290946	0.000343653	0.0225918	0.00504993	0.00545142	0.0479854	0.00172679	0.0369131	0.00362209	0.0457801	0.00856699	0.0691433	0.0145029	0.00819079	0.0104127	0.0421736	0.00902718	0.00616859	0.0207812	0.0120132	0.00514872	0.00138323	0.02269746	0.05235561	0.00609105	0.367682	0.00313595	0.0316221	0.530378	0.0610919	12.96995	0.1286785	6	40.32235	0.4295997	0.00053544	0.0339086	0.38426	3.5813	0.309618	0.311639	0.124327	0.254417	0.1810341	0.710797
60	-3771.917	-3728.086	-43.83076	4.578631	0.2045261	0.0674286	0.00294704	0.0346271	0.0435235	0.00757367	0.0114613	0.0314264	0.00625403	0.035149	0.00678775	0.0091186	0.0181619	0.0164776	0.013542	0.0629771	0.0204867	0.0129359	0.0047324	0.0258163	0.02269	0.0163532	0.000298909	0.0231123	0.0531544	0.00334996	0.0497423	0.00651967	0.0232798	0.019922	0.00163495	0.0055824	0.0391905	0.0299218	0.0173092	0.00669964	0.0188431	0.000623162	0.00540694	0.0159158	0.012344	0.000449406	0.00226383	0.01967115	0.07080323	0.00513515	0.559365	0.00301594	0.0220803	0.370339	0.040065	12.66496	0.08162293	8	37.60774	0.4277317	0.000618888	0.0364267	0.395367	3.56759	0.324104	0.287981	0.127338	0.260578	0.1524262	0.5354916
70	-3779.747	-3722.149	-57.59891	3.553966	0.157041	0.0637256	0.00175128	0.030939	0.0472308	0.00738641	0.0156697	0.0435044	0.00732118	0.0296951	0.0023987	0.00456293	0.0166337	0.0268236	0.0124933	0.052782	0.0374763	0.0467287	0.00909262	0.0237958	0.0202166	0.018312	0.000787637	0.0446809	0.00332989	0.0135831	0.0792704	0.0063072	0.0236651	0.00019475	0.0051625	0.00257752	0.154397	0.0173457	0.0131996	0.00751353	0.0048508	0.0177339	0.0377162	0.0405886	0.069316	0.0370064	0.000871913	0.02572657	0.03238643	0.00851666	0.567226	0.00167399	0.0131519	0.375543	0.0338893	12.81745	0.1711647	6	38.2458	0.2491905	8.02455e-05	0.0132203	0.262946	3.72375	0.287895	0.311962	0.113112	0.287031	0.2035512	0.8408929
80	-3778.389	-3721.706	-56.68346	3.203971	0.1990327	0.0520507	0.00145746	0.0189831	0.0347728	0.00477996	0.0239592	0.0207346	0.0059131	0.0259058	0.000536603	0.0043411	0.0179614	0.0295672	0.0119284	0.0286195	0.0612432	0.0213078	0.0108229	0.0240667	0.046206	0.0426472	0.000932087	0.0154082	0.000389542	0.023071	0.0682434	0.016719	0.0231826	0.00273158	0.00626939	0.0555554	0.0773512	0.106296	0.0124473	0.0121094	0.00469658	0.0042208	0.0784506	0.0593663	0.0100218	0.00936635	0.00121728	0.02166333	0.03869287	0.00833929	0.632327	0.00283931	0.00629058	0.321617	0.0285871	13.96344	0.1019998	7	39.52747	0.3967321	0.00051367	0.0332193	0.381129	3.58514	0.300017	0.313115	0.111418	0.275451	0.1406926	0.724983
90	-3759.397	-3718.146	-41.25066	3.461568	0.1791554	0.0239912	0.0011118	0.00932917	0.055181	0.00786035	0.0181184	0.0309677	0.00921894	0.0361474	0.000671823	0.00348586	0.03491	0.0200516	0.0076763	0.0398706	0.0392594	0.0322545	0.00669665	0.00820333	0.0373141	0.0201468	0.00101373	0.00721724	0.0254012	0.0140766	0.0779567	0.0047426	0.0218466	0.0229852	0.0176425	0.00867743	0.0326626	0.0108918	0.00803854	0.0108355	0.021531	0.00119084	0.0322674	0.0349457	0.00686988	0.00443008	0.00129065	0.02359316	0.03139254	0.00887282	0.574427	0.00656102	0.0047836	0.377001	0.0283551	12.94209	0.1153281	6	37.35304	0.5750704	0.000237826	0.0226815	0.327117	3.64996	0.286645	0.31309	0.124836	0.275429	0.1467206	0.7860386
