Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-6893.577	-6876.895	-16.68227	0.9836948	1	0.003578771	0.02560931	0.170982	0.292293	0.150977	0.175449	0.187456	0.0228424	0.2346437	0.136954	0.476752	1	2.38629	0.156071	0.697581	0.0205696	0.125778	0.2602531	0.9015984
1	1	-7582.412	-7570.031	-12.3816	0.976095	1	0.001926688	0.05890071	0.122622	0.386306	0.0609646	0.173795	0.244299	0.0120137	0.0159214	0.136954	0.476752	1	2.38629	0.00255333	0.0594189	0.0724264	0.865601	0.07482211	0.2127901
2	0	-4472.951	-4450.555	-22.39515	0.8301469	0.1885615	0.0254759	-0.46352	0.0398993	0.437402	0.137893	0.159023	0.203367	0.0224157	0.6821727	0.0003494	0.0274482	0.353151	3.61905	0.284032	0.459506	0.0342969	0.222165	0.2186526	3.119892
3	1	-5048.058	-5035.558	-12.50029	0.7630261	0.2807373	0.009427814	-0.004824418	0.349681	0.359914	0.011447	0.0611156	0.210893	0.00694992	0.04639771	0.00386314	0.0896209	0.56199	3.34453	0.0212664	0.0920832	0.286523	0.600128	0.0415733	1.116046
4	0	-3902.718	-3885.909	-16.80886	0.7203038	0.2313954	0.1104774	-0.2165745	0.0238347	0.424146	0.0991197	0.111775	0.330159	0.0109656	0.3053639	0.00135504	0.053623	0.460576	3.48445	0.278271	0.323228	0.147463	0.251038	0.08878946	3.439191
5	1	-4059.653	-4045.551	-14.10154	0.7617778	0.3076319	0.1069666	0.04319263	0.258153	0.429645	0.00870849	0.0415566	0.256263	0.00567341	0.05075488	0.00593479	0.110444	0.6084	3.27522	0.125788	0.339789	0.163741	0.370682	0.09394752	0.5402472
6	0	-3783.216	-3769.263	-13.95214	0.4115553	0.2489166	0.1491959	0.007245749	0.0189725	0.337622	0.0274769	0.053232	0.553177	0.00951976	0.05273173	0.00206165	0.0659087	0.499195	3.43283	0.313506	0.260915	0.147472	0.278107	0.05997748	0.8791922
7	1	-3874.513	-3861.186	-13.32673	0.7067527	0.2516019	0.09890831	0.03034164	0.115932	0.568668	0.00668222	0.0306092	0.270424	0.00768406	0.02794081	0.00218726	0.0678492	0.504852	3.42511	0.255064	0.285009	0.139786	0.32014	0.05828245	0.4794034
8	0	-3773.293	-3757.128	-16.16577	0.3489402	0.2245456	0.1820608	0.1918576	0.0178134	0.342791	0.0235232	0.0381982	0.561646	0.0160288	0.06343278	0.00112965	0.0490269	0.44465	3.50519	0.291744	0.292359	0.142082	0.273814	0.2552904	0.248473
9	1	-3778.875	-3765.245	-13.62909	0.4432609	0.2350627	0.1624796	-0.005471593	0.0693298	0.425576	0.00422637	0.0100384	0.487497	0.00333231	0.0349161	0.00148715	0.0561351	0.468909	3.47347	0.257588	0.298853	0.159564	0.283995	0.0294445	1.185827
10	0	-3756.956	-3740.119	-16.83619	0.3562346	0.21274	0.2283905	0.2114986	0.0167178	0.399274	0.00886482	0.0183291	0.540584	0.0162306	0.07105932	0.000803161	0.0414333	0.416083	3.54168	0.293016	0.310051	0.144225	0.252709	0.2825579	0.2514858
11	1	-3756.083	-3741.999	-14.08373	0.4076314	0.2626824	0.1771883	0.02221034	0.0389309	0.461591	0.00409588	0.00835347	0.485192	0.0018369	0.03815831	0.00275626	0.0759897	0.527479	3.39378	0.301718	0.281758	0.127157	0.289367	0.06036864	0.6320882
12	0	-3744.85	-3730.444	-14.40633	0.3366971	0.2280479	0.2030633	0.04683789	0.0168144	0.50484	0.00959235	0.0106353	0.445824	0.0122937	0.03214077	0.00124147	0.0513607	0.452852	3.49455	0.329052	0.288593	0.126247	0.256109	0.07897866	0.4069551
13	1	-3746.374	-3731.766	-14.60802	0.3835053	0.246453	0.2010614	-0.1124678	0.0318321	0.434882	0.00576721	0.0107789	0.514054	0.00268536	0.1225057	0.00195055	0.0641406	0.493946	3.43996	0.299198	0.299869	0.150341	0.250592	0.01003787	12.20435
14	0	-3746.806	-3732.094	-14.71212	0.3179255	0.1857663	0.1987808	0.03412575	0.0149184	0.461051	0.0124954	0.0112666	0.489163	0.0111059	0.06013452	0.000312931	0.0259887	0.345502	3.6282	0.330722	0.281829	0.132294	0.255156	0.09426027	0.6379626
15	1	-3744.725	-3727.641	-17.08391	0.3562462	0.2387107	0.1987704	-0.3876134	0.0147797	0.496024	0.0128726	0.00496939	0.470304	0.00105084	0.3933277	0.00162671	0.0586669	0.477066	3.46264	0.282921	0.314808	0.127632	0.274639	0.005714276	68.83245
16	0	-3742.222	-3726.253	-15.96868	0.3508946	0.2079008	0.2081087	0.0607824	0.0131057	0.572331	0.00674649	0.00519994	0.394488	0.00812938	0.1081038	0.000690561	0.0384542	0.403962	3.55689	0.277625	0.297377	0.134581	0.290416	0.1688862	0.6400985
17	1	-3745.005	-3728.425	-16.58055	0.3009122	0.1896088	0.2366254	-0.3181996	0.0215153	0.532227	0.014405	0.00801141	0.423118	0.000724032	0.3226024	0.000363828	0.0280041	0.355998	3.61563	0.286872	0.272872	0.161782	0.278474	0.004402856	73.27117
18	0	-3749.798	-3732.489	-17.30869	0.3441395	0.2066274	0.2264518	0.1567474	0.013448	0.583827	0.00911295	0.00982729	0.365812	0.0179728	0.1259496	0.00066287	0.0376842	0.400732	3.56092	0.275892	0.329357	0.118778	0.275972	0.2826971	0.4455285
19	1	-3741.522	-3724.674	-16.84827	0.2972982	0.233735	0.258863	-0.3222598	0.014335	0.499062	0.0126743	0.0117128	0.461486	0.00073024	0.3280963	0.00143838	0.0552217	0.465907	3.47743	0.3059	0.300439	0.144589	0.249072	0.005836502	56.21454
20	0	-3741.628	-3725.853	-15.77504	0.3602401	0.2322973	0.1894147	0.2001287	0.014151	0.520536	0.0173896	0.00884249	0.429463	0.00961797	0.03783521	0.00138678	0.0542376	0.462637	3.48174	0.294003	0.296811	0.131842	0.277344	0.237964	0.1589956
21	1	-3738.982	-3722.202	-16.77998	0.3085232	0.201849	0.2438962	-0.3293966	0.00671172	0.464533	0.0180134	0.0130392	0.497144	0.000558141	0.334292	0.00056588	0.0348489	0.388466	3.57612	0.302089	0.306492	0.131471	0.259947	0.004895403	68.28692
22	0	-3741.325	-3726.24	-15.0854	0.3109908	0.2370442	0.2070459	0.1135828	0.00941327	0.542701	0.0066212	0.00703252	0.42507	0.0091621	0.0368406	0.00156194	0.0575064	0.473356	3.46758	0.306813	0.29139	0.129519	0.272278	0.1504234	0.2449126
23	1	-3736.43	-3719.243	-17.18653	0.2413844	0.1906164	0.2706325	-0.3554845	0.0119061	0.498356	0.0174998	0.0105197	0.461215	0.000504208	0.3647716	0.000378113	0.0285435	0.358727	3.61235	0.305389	0.290417	0.132581	0.271613	0.009287047	39.27746
24	0	-3741.001	-3725.879	-15.12187	0.3515496	0.2085091	0.2095388	0.05501785	0.010355	0.57953	0.00443537	0.0127149	0.383801	0.00916344	0.06338761	0.000704071	0.0388241	0.405499	3.55497	0.289307	0.300104	0.127315	0.283274	0.1184055	0.5353437
25	1	-3738.406	-3722.329	-16.07779	0.2490853	0.1756146	0.2553612	-0.2256625	0.00876319	0.504926	0.00849982	0.0216764	0.455168	0.000966532	0.2423716	0.000203573	0.0209968	0.317107	3.66169	0.307023	0.283068	0.138337	0.271571	0.01670914	14.50533
26	0	-3744.015	-3728.156	-15.85887	0.3433162	0.2146408	0.2684222	-0.06025117	0.00776232	0.514173	0.00494692	0.0109873	0.448887	0.0132434	0.1326769	0.000850666	0.0426257	0.420779	3.53574	0.293787	0.31008	0.135803	0.26033	0.07242574	1.831903
27	1	-3736.693	-3721.619	-15.0739	0.2417181	0.1887262	0.2834602	-0.06764739	0.00931981	0.544858	0.00846444	0.0230533	0.413239	0.00106529	0.08566783	0.000351641	0.0275353	0.3536	3.61851	0.289352	0.30108	0.132013	0.277556	0.01802044	4.753925
28	0	-3741.63	-3727.052	-14.57712	0.2842709	0.1913525	0.2464541	-0.03128518	0.0143705	0.550517	0.0066105	0.00429288	0.405711	0.0184973	0.05814426	0.0003888	0.0289404	0.360714	3.60996	0.289493	0.305548	0.133912	0.271047	0.02685908	2.16479
29	1	-3735.934	-3720.86	-15.0743	0.2374577	0.1973716	0.3039356	-0.05118284	0.0109497	0.451776	0.0121127	0.0191124	0.505607	0.000441994	0.0657161	0.000484531	0.032273	0.376763	3.59048	0.312213	0.302145	0.125891	0.25975	0.01453326	4.521773
30	0	-3737.838	-3721.054	-16.78407	0.2954203	0.2179757	0.2353038	-0.3077233	0.0135332	0.563152	0.00676221	0.00528857	0.391851	0.0194129	0.3310288	0.000938617	0.0447465	0.428928	3.52539	0.301349	0.304127	0.124659	0.269865	0.02330553	14.20387
31	1	-3737.835	-3721.32	-16.51428	0.2463483	0.1832781	0.3179011	-0.1786781	0.00453192	0.597488	0.0123631	0.0120627	0.373153	0.000401658	0.2063758	0.000282879	0.0247197	0.33863	3.63637	0.299041	0.305687	0.132994	0.262278	0.02769764	7.451025
32	0	-3748.312	-3727.376	-20.93603	0.2748289	0.2371952	0.2268261	-0.7945721	0.0227563	0.539287	0.00723246	0.00664483	0.409407	0.014672	0.8156622	0.00156773	0.0576112	0.473693	3.46713	0.297225	0.301258	0.121019	0.280498	0.02109002	38.67526
33	1	-3744.795	-3728.109	-16.68583	0.2251196	0.1693652	0.3335648	-0.1683471	0.00501959	0.65499	0.00978932	0.00775994	0.321425	0.00101643	0.2052663	0.000152269	0.0181774	0.299177	3.68249	0.314893	0.298368	0.122101	0.264638	0.03691916	5.559884
34	0	-3740.151	-3723.881	-16.26987	0.2754449	0.2119628	0.22944	-0.2439317	0.0165992	0.482874	0.00920015	0.00483156	0.47441	0.012085	0.2718715	0.000784277	0.0409493	0.414152	3.54411	0.298329	0.304834	0.127264	0.269573	0.02793979	9.730622
35	1	-3741.298	-3725.949	-15.3492	0.2669767	0.1770426	0.2239683	0.003235623	0.00449957	0.583548	0.0134673	0.0120109	0.385012	0.00146171	0.0999331	0.000216913	0.0216688	0.321157	3.65696	0.287833	0.29608	0.127687	0.2884	0.1031687	0.9686376
36	0	-3739.096	-3723.977	-15.11878	0.3080522	0.2189116	0.2237286	-0.1297933	0.00962703	0.486924	0.0107441	0.00530447	0.478388	0.00901246	0.1496861	0.000964373	0.0453481	0.431194	3.52249	0.290335	0.296666	0.15065	0.26235	0.01989277	7.524647
