Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-6893.577	-6876.895	-16.68227	0.9836948	1	0.003578771	0.02560931	0.170982	0.292293	0.150977	0.175449	0.187456	0.0228424	0.2346437	0.136954	0.476752	1	2.38629	0.156071	0.697581	0.0205696	0.125778	0.2602531	0.9015984
10	-4472.951	-4450.555	-22.39515	0.8301469	0.1885615	0.0254759	-0.46352	0.0398993	0.437402	0.137893	0.159023	0.203367	0.0224157	0.6821727	0.0003494	0.0274482	0.353151	3.61905	0.284032	0.459506	0.0342969	0.222165	0.2186526	3.119892
20	-3902.718	-3885.909	-16.80886	0.7203038	0.2313954	0.1104774	-0.2165745	0.0238347	0.424146	0.0991197	0.111775	0.330159	0.0109656	0.3053639	0.00135504	0.053623	0.460576	3.48445	0.278271	0.323228	0.147463	0.251038	0.08878946	3.439191
30	-3783.216	-3769.263	-13.95214	0.4115553	0.2489166	0.1491959	0.007245749	0.0189725	0.337622	0.0274769	0.053232	0.553177	0.00951976	0.05273173	0.00206165	0.0659087	0.499195	3.43283	0.313506	0.260915	0.147472	0.278107	0.05997748	0.8791922
40	-3773.293	-3757.128	-16.16577	0.3489402	0.2245456	0.1820608	0.1918576	0.0178134	0.342791	0.0235232	0.0381982	0.561646	0.0160288	0.06343278	0.00112965	0.0490269	0.44465	3.50519	0.291744	0.292359	0.142082	0.273814	0.2552904	0.248473
50	-3756.956	-3740.119	-16.83619	0.3562346	0.21274	0.2283905	0.2114986	0.0167178	0.399274	0.00886482	0.0183291	0.540584	0.0162306	0.07105932	0.000803161	0.0414333	0.416083	3.54168	0.293016	0.310051	0.144225	0.252709	0.2825579	0.2514858
60	-3744.85	-3730.444	-14.40633	0.3366971	0.2280479	0.2030633	0.04683789	0.0168144	0.50484	0.00959235	0.0106353	0.445824	0.0122937	0.03214077	0.00124147	0.0513607	0.452852	3.49455	0.329052	0.288593	0.126247	0.256109	0.07897866	0.4069551
70	-3746.806	-3732.094	-14.71212	0.3179255	0.1857663	0.1987808	0.03412575	0.0149184	0.461051	0.0124954	0.0112666	0.489163	0.0111059	0.06013452	0.000312931	0.0259887	0.345502	3.6282	0.330722	0.281829	0.132294	0.255156	0.09426027	0.6379626
80	-3742.222	-3726.253	-15.96868	0.3508946	0.2079008	0.2081087	0.0607824	0.0131057	0.572331	0.00674649	0.00519994	0.394488	0.00812938	0.1081038	0.000690561	0.0384542	0.403962	3.55689	0.277625	0.297377	0.134581	0.290416	0.1688862	0.6400985
90	-3749.798	-3732.489	-17.30869	0.3441395	0.2066274	0.2264518	0.1567474	0.013448	0.583827	0.00911295	0.00982729	0.365812	0.0179728	0.1259496	0.00066287	0.0376842	0.400732	3.56092	0.275892	0.329357	0.118778	0.275972	0.2826971	0.4455285
