Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extant_mrca	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-12.16828	0	-12.16828	21.30908	1	0.171198	0.0269314	0.0162175	0.0180236	0.110913	0.0705445	0.0613095	0.0101628	0.0682915	0.0107256	0.0521001	0.133196	0.0397366	0.0352556	0.0833822	0.131764	0.00369892	0.0472924	0.07750895	0.06717983	0.0757243	0.0865102	0.121073	0.01129	0.427927	0.277476	43.86277	0.006197046	0.136954	0.476752	1	2.38629	0.196683	0.16325	0.135319	0.504748	0.07337688	0.08445502
1	1	-26.51087	0	-26.51087	15.84458	1	0.0410115	0.104702	0.0460015	0.120529	0.132754	0.0055396	0.0124052	0.017189	0.146427	0.177673	0.0806535	0.497694	0.294187	0.0380431	0.298665	0.10048	0.641598	0.0152426	0.1180594	0.06305385	0.209835	0.0470352	0.100279	0.385778	0.225901	0.0311714	17.50554	0.01076729	0.136954	0.476752	1	2.38629	0.0981004	0.341507	0.2655	0.294892	0.07382114	0.1458565
2	0	-17.32865	0	-17.32865	27.43067	2.998684	0.0791479	0.00779189	0.00948843	0.0115565	0.0203061	0.192359	0.128458	0.0680918	0.139292	0.032207	0.112293	0.0154205	0.101422	0.0678584	0.0240362	0.241395	0.00810232	0.0218523	0.09936816	0.03619625	0.109106	0.0564138	0.121038	0.0104694	0.463481	0.239492	42.80297	0.02159728	0.38916	0.731455	1.08251	1.79688	0.438008	0.153423	0.108205	0.300363	0.05779354	0.3736972
3	1	-20.81481	0	-20.81481	13.60179	0.6669937	0.082409	0.139936	0.101176	0.0639933	0.0332379	0.0734681	0.0108563	0.0189127	0.143683	0.184539	0.548201	0.0625593	0.00508152	0.124353	0.149784	0.0577485	0.174991	0.0902873	0.1031527	0.1218069	0.218188	0.0255492	0.0443631	0.117814	0.581332	0.0127539	44.17993	0.005486314	0.0671569	0.347531	0.911995	2.67332	0.0846306	0.620221	0.168825	0.126323	0.1272932	0.04309981
4	0	-4.316388	0	-4.316388	12.30379	2.452658	0.0522434	0.0423872	0.0109067	0.00660054	0.0044954	0.108338	0.0990214	0.0331627	0.102738	0.019759	0.0872379	0.0294542	0.0224926	0.0279	0.0132841	0.126943	0.00615122	0.000386093	0.0782101	0.1003484	0.0745436	0.067858	0.237258	0.00424711	0.442073	0.17402	14.31346	0.04289902	0.341922	0.695877	1.07807	1.88413	0.171286	0.155015	0.215359	0.45834	0.1432474	0.299475
5	1	-8.853341	0	-8.853341	10.8558	1.40988	0.0441332	0.0400126	0.0382978	0.0258669	0.00914892	0.0454838	0.00718645	0.00375821	0.012987	0.0151221	0.17709	0.0612216	0.338647	0.1144	0.0416127	0.0331197	0.0158632	0.0857984	0.08847323	0.1373667	0.0651579	0.0525368	0.0803431	0.212992	0.570663	0.0183081	34.51793	0.007881184	0.211059	0.572835	1.04466	2.17145	0.0981429	0.555143	0.211982	0.134733	0.1452479	0.05426025
6	0	-9.374398	0	-9.374398	4.65148	3.965884	0.0964423	0.0273976	0.0198207	0.00431443	0.00691408	0.0132096	0.0995071	0.0962436	0.088834	0.135392	0.0260916	0.0731018	0.374244	0.160567	0.0184853	0.153988	0.0053418	0.00100845	0.0549278	0.1681449	0.0476025	0.113355	0.13494	0.0018386	0.3932	0.309063	5.393295	0.1189826	0.452478	0.774021	1.08441	1.6891	0.10297	0.226563	0.263912	0.406554	0.2871276	0.4143895
7	1	-14.94033	0	-14.94033	6.823814	0.8450898	0.0173217	0.147276	0.0179411	0.08803	0.105041	0.0504952	0.00955849	0.0926504	0.0290728	0.0711251	0.018661	0.00981982	0.126806	0.189688	0.19176	0.112747	0.120591	0.122632	0.05479074	0.05570734	0.0966506	0.0548068	0.0619439	0.182776	0.587959	0.0158638	42.95335	0.07268011	0.105111	0.424673	0.968706	2.50151	0.341118	0.119106	0.403554	0.136222	0.1283875	0.5660998
8	0	9.250537	0	9.250537	4.289567	5.209745	0.0184874	0.00553149	0.0165426	0.000551838	0.00789792	0.0150675	0.035782	0.0475236	0.0639937	0.0305387	0.0147739	0.00440116	0.0314049	0.107972	0.0573415	0.0388032	0.0349303	0.0344798	0.05107796	0.1511298	0.0650448	0.148664	0.133481	0.00213861	0.354159	0.296512	6.107705	0.09066573	0.510562	0.808818	1.08292	1.5977	0.0299913	0.217264	0.249918	0.502827	0.2417956	0.3749685
9	1	-23.4246	0	-23.4246	22.19229	0.8161775	0.0375633	0.0405683	0.0390369	0.0512287	0.32111	0.157919	0.0149014	0.0212302	0.146827	0.107799	0.0178503	0.163729	0.0349781	0.216486	0.158798	0.249085	0.107583	0.114464	0.1238102	-0.03318431	0.15535	0.0760816	0.0222171	0.160618	0.573753	0.0119805	25.574	0.2452088	0.0989962	0.413567	0.961339	2.5261	0.409776	0.0143923	0.31218	0.263652	0.2120244	1.156512
