Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-6676.861	-6670.332	-6.528941	0.9902752	1	0.119661	0.337566	0.280469	0.245692	0.217198	0.271709	0.323199	0.239087	0.105946	0.101082	0.619552	0.0717532	0.141975	0.086939	0.184557	0.307768	0.0979269	0.148582	0.2194299	0.1153632	0.150483	0.0165016	0.333926	0.33512	0.0206414	0.143329	0.05724111	0.136954	0.476752	1	2.38629	0.146098	0.122606	0.568162	0.163135	0.1726043	0.331632
1	1	-5883.067	-5887.179	4.112599	0.8731153	1	0.0309051	0.0149904	0.0396875	0.259918	0.190453	0.271857	0.0080341	0.00819266	0.147808	0.0580922	0.294269	0.016616	0.286378	0.0217739	0.0499207	0.51277	0.0801596	0.0468426	0.09874565	-0.02208001	0.297787	0.460792	0.0228187	0.0469209	0.0526056	0.119076	0.07815555	0.136954	0.476752	1	2.38629	0.106945	0.263572	0.517314	0.112169	0.05607555	1.393755
2	0	-5070.284	-5058.884	-11.40052	0.5523542	0.2867794	0.226534	0.196001	0.202291	0.285571	0.476268	0.533965	0.279018	0.921179	0.302539	0.0883902	0.0197502	0.556656	0.193649	0.403768	0.147206	0.0842759	0.102428	0.0858375	0.2595625	0.02011645	0.193366	0.0180529	0.248452	0.187838	0.0225818	0.32971	0.09243061	0.00428429	0.0942582	0.572917	3.32854	0.216836	0.177417	0.274374	0.331372	0.1125471	0.8212619
3	1	-4274.066	-4275.265	1.199138	0.7756902	0.3201661	0.286551	0.058879	0.0570895	0.138626	0.329448	0.162691	0.0891666	0.144529	0.165511	0.233948	0.0892662	0.169887	0.0488527	0.137456	0.185934	0.172166	0.0257738	0.17043	0.1294271	-0.1222026	0.187766	0.656909	0.0131218	0.0363616	0.0526813	0.0531599	0.1729588	0.00707303	0.120246	0.628165	3.24452	0.168552	0.316491	0.134892	0.380066	0.05075628	3.407634
4	0	-4748.4	-4729.805	-18.59477	0.3850333	0.1628662	0.156126	0.304703	0.274476	0.321166	0.329343	0.56092	0.361631	1.38854	0.32838	0.106698	0.17194	0.659253	0.461676	0.206186	0.297027	0.218638	0.110239	0.314752	0.5316952	0.07978273	0.145397	0.0285705	0.294119	0.148801	0.0542693	0.328844	0.008865883	0.000109944	0.0154612	0.280203	3.70423	0.216115	0.320895	0.134263	0.328727	0.08864861	0.1000115
5	1	-4023.26	-4021.725	-1.535351	0.5302603	0.2534789	0.343245	0.0978051	0.0413297	0.0595292	0.298684	0.191736	0.111776	0.266728	0.0734067	0.338275	0.0305856	0.236548	0.0820558	0.10354	0.0888885	0.103688	0.135918	0.170228	0.1834208	0.04083644	0.13554	0.680481	0.0109066	0.0338346	0.0841708	0.0550674	0.1761918	0.00227787	0.0692136	0.508765	3.41974	0.212768	0.302405	0.108805	0.376022	0.2170283	0.8118382
6	0	-4477.035	-4469.141	-7.894399	0.442371	0.2360225	0.189209	0.155173	0.117529	0.252055	0.318629	0.386736	0.443368	0.815206	0.183426	0.0760706	0.111468	0.207009	0.315345	0.0945145	0.200495	0.0450125	0.220093	0.434905	0.2704752	0.02340772	0.191329	0.108811	0.387035	0.0529471	0.104632	0.155247	0.01365703	0.00152308	0.0567981	0.471068	3.47061	0.208678	0.310015	0.15796	0.323348	0.03706475	0.3684642
7	1	-3825.769	-3820.71	-5.059858	0.5339	0.2455126	0.160769	0.149618	0.0273634	0.070213	0.224836	0.166468	0.165893	0.112258	0.0393808	0.283417	0.260512	0.236517	0.118936	0.121353	0.146657	0.0976363	0.179714	0.33107	0.1774419	0.09709277	0.0597192	0.730492	0.0123186	0.0222346	0.152636	0.0225996	0.2718313	0.00190917	0.0634689	0.491926	3.4427	0.27212	0.296536	0.108551	0.322793	0.368924	0.7368218
8	0	-4287.889	-4276.633	-11.25666	0.3252951	0.3158802	0.0497241	0.0700641	0.0858435	0.260385	0.300026	0.480996	0.347975	0.277349	0.0720276	0.0675447	0.0748435	0.18975	0.157114	0.123733	1.82702	0.136745	0.382119	0.216235	0.3641574	-0.01473891	0.145086	0.14356	0.290335	0.0512583	0.164933	0.204826	0.02685534	0.0066716	0.116892	0.621532	3.2549	0.219065	0.332949	0.1702	0.277785	0.01211643	2.216439
9	1	-3724.065	-3715.46	-8.604645	0.4957576	0.1983933	0.214521	0.135985	0.160855	0.291161	0.278029	0.115321	0.263526	0.161272	0.0415291	0.470643	0.0309818	0.448028	0.169428	0.0515113	0.167933	0.229969	0.317456	0.24127	0.1987948	-0.3245716	0.0202705	0.557383	0.00731568	0.0151163	0.381265	0.0186498	0.4382164	0.000502309	0.0328537	0.379452	3.58719	0.290412	0.304658	0.135135	0.269795	0.1136448	3.856019
