Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-6676.861	-6670.332	-6.528941	0.9902752	1	0.119661	0.337566	0.280469	0.245692	0.217198	0.271709	0.323199	0.239087	0.105946	0.101082	0.619552	0.0717532	0.141975	0.086939	0.184557	0.307768	0.0979269	0.148582	0.2194299	0.1153632	0.150483	0.0165016	0.333926	0.33512	0.0206414	0.143329	0.05724111	0.136954	0.476752	1	2.38629	0.146098	0.122606	0.568162	0.163135	0.1726043	0.331632
10	-5070.284	-5058.884	-11.40052	0.5523542	0.2867794	0.226534	0.196001	0.202291	0.285571	0.476268	0.533965	0.279018	0.921179	0.302539	0.0883902	0.0197502	0.556656	0.193649	0.403768	0.147206	0.0842759	0.102428	0.0858375	0.2595625	0.02011645	0.193366	0.0180529	0.248452	0.187838	0.0225818	0.32971	0.09243061	0.00428429	0.0942582	0.572917	3.32854	0.216836	0.177417	0.274374	0.331372	0.1125471	0.8212619
20	-4748.4	-4729.805	-18.59477	0.3850333	0.1628662	0.156126	0.304703	0.274476	0.321166	0.329343	0.56092	0.361631	1.38854	0.32838	0.106698	0.17194	0.659253	0.461676	0.206186	0.297027	0.218638	0.110239	0.314752	0.5316952	0.07978273	0.145397	0.0285705	0.294119	0.148801	0.0542693	0.328844	0.008865883	0.000109944	0.0154612	0.280203	3.70423	0.216115	0.320895	0.134263	0.328727	0.08864861	0.1000115
30	-4477.035	-4469.141	-7.894399	0.442371	0.2360225	0.189209	0.155173	0.117529	0.252055	0.318629	0.386736	0.443368	0.815206	0.183426	0.0760706	0.111468	0.207009	0.315345	0.0945145	0.200495	0.0450125	0.220093	0.434905	0.2704752	0.02340772	0.191329	0.108811	0.387035	0.0529471	0.104632	0.155247	0.01365703	0.00152308	0.0567981	0.471068	3.47061	0.208678	0.310015	0.15796	0.323348	0.03706475	0.3684642
40	-4287.889	-4276.633	-11.25666	0.3252951	0.3158802	0.0497241	0.0700641	0.0858435	0.260385	0.300026	0.480996	0.347975	0.277349	0.0720276	0.0675447	0.0748435	0.18975	0.157114	0.123733	1.82702	0.136745	0.382119	0.216235	0.3641574	-0.01473891	0.145086	0.14356	0.290335	0.0512583	0.164933	0.204826	0.02685534	0.0066716	0.116892	0.621532	3.2549	0.219065	0.332949	0.1702	0.277785	0.01211643	2.216439
50	-4153.632	-4149.093	-4.539401	0.4965783	0.2516896	0.0512579	0.0378114	0.040799	0.308352	0.289807	0.507566	0.406731	0.247091	0.0966986	0.0500812	0.0605482	0.380836	0.206138	0.147336	0.341257	0.0326761	0.415692	0.31873	0.2029361	0.002478253	0.048966	0.147526	0.298356	0.0526744	0.241992	0.210485	0.02071327	0.00219144	0.0679128	0.505035	3.42486	0.268874	0.324656	0.171503	0.234966	0.02319152	0.8931397
60	-4034.818	-4034.848	0.02954667	0.4537301	0.2902177	0.0469219	0.0419605	0.0648473	0.113747	0.175126	0.294055	0.356323	0.190302	0.062689	0.0247815	0.072045	0.612224	0.154299	0.07452	0.110098	0.245169	0.275135	0.124925	0.1833611	-0.01284617	0.0367663	0.250936	0.235864	0.0353713	0.248426	0.192636	0.04200549	0.0045354	0.09691	0.579003	3.31955	0.267928	0.325076	0.171725	0.23527	0.02915931	1.440551
70	-3799.001	-3797.039	-1.962182	0.4100485	0.2460123	0.0813206	0.0652168	0.108151	0.156802	0.21963	0.33135	0.189742	0.306162	0.0884005	0.0527098	0.54162	0.451298	0.142657	0.124613	0.20634	0.0924161	0.143325	0.179154	0.1835261	-0.0006197851	0.0127401	0.236576	0.0684596	0.0116398	0.604952	0.0656317	0.01474217	0.00193109	0.0638256	0.493	3.44124	0.265931	0.31357	0.165937	0.254562	0.01412239	1.043887
80	-3743.052	-3740.364	-2.688196	0.5168694	0.2091222	0.0936987	0.0647798	0.063134	0.166242	0.135464	0.462271	0.407959	0.372753	0.0960095	0.0674653	0.119434	0.492564	0.108485	0.0630423	0.239253	0.0784937	0.341368	0.241335	0.1809261	-0.007848413	0.00665082	0.355699	0.043288	0.00659084	0.546272	0.0414999	0.01841036	0.00071787	0.0391983	0.407044	3.55304	0.29945	0.304605	0.145216	0.25073	0.01056195	1.743084
90	-3715.085	-3714.985	-0.1000794	0.5518504	0.1984732	0.101293	0.0462646	0.0137003	0.148578	0.135791	0.483547	0.399537	0.3225	0.102907	0.0413866	0.0404422	0.476637	0.0968844	0.126714	0.128212	0.120448	0.0677993	0.29674	0.1606207	-0.01397487	0.0053674	0.571925	0.0164072	0.00704035	0.393563	0.00569663	0.02739736	0.00050372	0.0328994	0.379662	3.58694	0.316205	0.311229	0.124454	0.248112	0.0134225	2.041152
100	-3716.308	-3713.161	-3.146736	0.5423676	0.2029982	0.194933	0.0756322	0.0173021	0.139375	0.135132	0.263482	0.187905	0.490014	0.194509	0.0665056	0.0777385	0.288015	0.275645	0.10566	0.340229	0.181722	0.143143	0.356403	0.2100442	-0.07721311	0.00502582	0.437696	0.0154961	0.00500663	0.530417	0.00635754	0.08575773	0.000588226	0.0355229	0.391438	3.57245	0.305415	0.303275	0.143469	0.247841	0.00854462	10.03646
110	-3727.096	-3717.271	-9.825213	0.6575851	0.2000743	0.156628	0.307186	0.0517705	0.11754	0.0866799	0.486035	0.327032	0.577498	0.154594	0.0757146	0.0527785	0.492014	0.0524331	0.0589457	0.188837	0.419792	0.347912	0.552478	0.2842295	-0.1938364	0.00569972	0.412416	0.0155935	0.00620479	0.553644	0.00644238	0.2131118	0.000532562	0.0338183	0.383852	3.5818	0.310068	0.324668	0.120975	0.244289	0.0192754	11.05616
120	-3714.532	-3707.616	-6.916011	0.7077405	0.1563532	0.131148	0.0375649	0.0112843	0.101152	0.113221	0.246543	0.112557	0.618619	0.0874931	0.0442674	0.107896	0.65006	0.153552	0.192359	0.186152	0.0711829	0.106119	0.886005	0.2031977	-0.2233947	0.00983827	0.616575	0.00666357	0.0018868	0.357108	0.00792831	0.2540428	7.71969e-05	0.0129681	0.260895	3.72606	0.278514	0.304194	0.124567	0.292726	0.03064808	8.289029
130	-3728.969	-3718.428	-10.5414	0.6553452	0.1997275	0.214555	0.322724	0.0413748	0.128555	0.200608	0.358518	0.152625	0.718087	0.131309	0.0203728	0.0142113	0.526308	0.245212	0.0622275	0.0715392	0.0558795	0.325149	0.877854	0.2265435	-0.3444883	0.0103133	0.493184	0.00874343	0.0019186	0.46857	0.0172703	0.362567	0.000526217	0.0336184	0.382946	3.58291	0.266344	0.324528	0.125965	0.283164	0.01807871	20.05492
140	-3718.75	-3711.798	-6.951756	0.6013301	0.1791436	0.0844258	0.292835	0.0908985	0.118457	0.161026	0.355653	0.170971	0.577577	0.0796737	0.0679764	0.0978259	0.977576	0.425914	0.0579981	0.0324855	0.0571753	0.0852691	0.58439	0.188255	-0.01214764	0.0103013	0.492612	0.00868412	0.00167668	0.468026	0.0187002	0.04605443	0.000237706	0.0226758	0.327084	3.65	0.298184	0.302255	0.12245	0.27711	0.0339068	1.358266
150	-3715.562	-3711.415	-4.147512	0.4568446	0.1824252	0.119445	0.141182	0.0542826	0.160311	0.192688	0.468459	0.273564	0.527506	0.134484	0.0564226	0.0849986	0.354715	0.237059	0.0972193	0.144132	0.256505	0.0311151	0.277478	0.1380396	0.03692213	0.0115146	0.550631	0.00865123	0.00218238	0.406118	0.0209027	0.02639664	0.000273083	0.0242914	0.336261	3.63917	0.296451	0.304248	0.125946	0.273355	0.06331877	0.4168849
160	-3717.142	-3711.501	-5.640564	0.4391453	0.1636178	0.160302	0.494414	0.380522	0.192039	0.176791	0.431022	0.282213	0.56508	0.168556	0.076462	0.15973	0.147419	0.165312	0.0720498	0.149625	0.0359811	0.0326115	0.414518	0.1855487	-0.002360575	0.0109775	0.548977	0.0057167	0.00446924	0.421531	0.00832775	0.03352454	0.000114315	0.0157638	0.282414	3.70171	0.307614	0.309995	0.116306	0.266085	0.03116397	1.075747
170	-3716.891	-3708.058	-8.833362	0.4530967	0.1850311	0.152423	0.809243	0.357982	0.248023	0.292898	0.557334	0.242699	0.394658	0.273535	0.0803247	0.261306	0.158268	0.143513	0.0966555	0.148226	0.0419884	0.00659177	0.293969	0.2977838	0.07148993	0.0123936	0.524712	0.00753736	0.00649187	0.439818	0.00904695	0.01731988	0.00030382	0.0256108	0.343477	3.63061	0.296362	0.298656	0.135925	0.269058	0.08880982	0.1950222
180	-3726.82	-3713.343	-13.47664	0.7582936	0.1844427	0.609671	0.426138	0.118603	0.0883637	0.239007	0.555423	0.240821	0.543138	0.890535	0.0698048	0.293688	0.228321	0.397316	0.0377316	0.00277829	0.134993	0.00558168	0.597487	0.3005367	0.2072693	0.0122289	0.493968	0.0107847	0.0064056	0.469844	0.00676823	0.02451722	0.000296668	0.0253101	0.341853	3.63254	0.315485	0.297626	0.126122	0.260767	0.2317866	0.105775
190	-3712.616	-3709.927	-2.688856	0.461842	0.1787799	0.245899	0.252754	0.0930972	0.129259	0.162104	0.328368	0.23772	0.536967	0.278857	0.05524	0.252999	0.240912	0.12131	0.0611459	0.167699	0.06308	0.00683157	0.146959	0.2119167	0.02275773	0.0137622	0.497426	0.00799525	0.00351625	0.473133	0.00416657	0.05078238	0.000234004	0.0224999	0.326061	3.65121	0.321477	0.29133	0.122575	0.264618	0.07354011	0.6905399
200	-3714.178	-3711.763	-2.415219	0.539622	0.2144657	0.264374	0.0666488	0.0298881	0.116833	0.141793	0.222203	0.158924	0.340797	0.519778	0.0912162	0.0769944	0.476361	0.200133	0.124283	0.129306	0.112637	0.185175	0.0994935	0.1842903	-0.06181482	0.0192075	0.509695	0.00768909	0.002753	0.456386	0.00426933	0.1033927	0.000846208	0.0425153	0.420348	3.53629	0.288565	0.314614	0.124431	0.27239	0.04157792	2.486722
210	-3722.388	-3711.423	-10.96499	0.5389641	0.2033213	0.246318	0.0469738	0.0348049	0.250372	0.465231	0.581488	0.32523	0.293019	0.237796	0.0811717	0.20861	0.129576	1.59184	0.111812	0.308668	0.0106943	0.0146769	0.217468	0.2987335	-0.04476637	0.0152704	0.497842	0.00814685	0.00543698	0.469104	0.00419959	0.08069255	0.000594618	0.0357132	0.39227	3.57142	0.292501	0.295993	0.14381	0.267696	0.03592619	2.246065
220	-3714.139	-3709.541	-4.597718	0.6083158	0.1704321	0.105552	0.0719474	0.0644166	0.167317	0.1962	0.24128	0.240855	0.533947	0.130296	0.0756211	0.222974	0.0363	0.290441	0.0338373	0.625669	0.0355326	0.00378659	0.450778	0.1460106	-0.1895677	0.0117594	0.568585	0.00724758	0.0137115	0.395409	0.00328714	0.2048667	0.00016025	0.0186445	0.302261	3.67893	0.29084	0.29402	0.133086	0.282054	0.01529896	13.39089
230	-3722.894	-3720.874	-2.019379	0.6101179	0.2048952	0.117426	0.0574063	0.122218	0.0924769	0.107459	0.143301	0.297722	0.481051	0.0970843	0.0738948	0.0713308	0.0394314	0.1139	0.0697104	0.1503	0.20332	0.0199858	0.441401	0.1255462	-0.3071634	0.00968432	0.582023	0.00603648	0.00745528	0.390696	0.00410558	0.3995539	0.000626461	0.0366464	0.396313	3.56641	0.292422	0.307784	0.116746	0.283048	0.0923905	4.324621
240	-3718.525	-3710.573	-7.951937	0.6381114	0.1859499	0.0776167	0.101035	0.109342	0.123981	0.133594	0.600207	0.379811	0.498493	0.118872	0.0511322	0.364126	0.160307	0.0220994	0.0653864	0.269125	0.39448	0.0827011	0.506428	0.2416392	0.05644331	0.012929	0.548685	0.00572668	0.00829601	0.415729	0.00863463	0.1109975	0.000315238	0.0260835	0.346007	3.62759	0.291107	0.3064	0.116722	0.285772	0.1674409	0.662906
250	-3715.749	-3709.899	-5.849618	0.6728116	0.185281	0.18787	0.0942033	0.106754	0.0832022	0.158471	0.470231	0.269199	0.546855	0.208262	0.0605883	0.128429	0.0540686	0.0757214	0.0444589	0.107596	0.096952	0.374071	0.635881	0.2039798	-0.1031206	0.0132175	0.518269	0.00533582	0.0125605	0.440692	0.00992592	0.1922226	0.000306895	0.025739	0.344166	3.62979	0.318598	0.287647	0.125473	0.268281	0.089102	2.157332
260	-3720.152	-3710.767	-9.38514	0.420011	0.2062133	0.112385	0.435722	0.334722	0.158476	0.188041	0.393437	0.262488	0.41922	0.104615	0.107854	0.401689	0.345532	0.0675182	0.0820009	0.312478	0.0631983	0.143035	0.1755	0.2167699	-0.1684957	0.0089474	0.499338	0.00684651	0.0117904	0.46376	0.00931731	0.3126593	0.000654035	0.0374351	0.399679	3.56223	0.312628	0.316278	0.123678	0.247416	0.1441637	2.16878
270	-3729.243	-3719.728	-9.51465	0.4940407	0.169795	0.542442	0.0989422	0.12975	0.146866	0.187601	0.290321	0.13592	0.538841	0.54866	0.150853	0.178904	0.337007	0.0454752	0.0630175	0.484442	0.449983	0.500797	0.0860799	0.2299538	0.05312673	0.0095228	0.592232	0.00611744	0.0117797	0.369537	0.010812	0.02055119	0.000155447	0.0183648	0.30042	3.68106	0.280263	0.307496	0.135588	0.276654	0.07367793	0.2789328
280	-3718.891	-3713.926	-4.964568	0.5045968	0.1732941	0.130118	0.0662794	0.0853358	0.0968113	0.113799	0.35665	0.145448	0.547046	0.110243	0.0919498	0.459062	0.369944	0.0491019	0.0380403	0.419866	0.406216	0.163492	0.141299	0.2648436	0.03792208	0.0087113	0.597631	0.00684213	0.0118767	0.366643	0.00829602	0.007215619	0.000183214	0.0199267	0.310487	3.6694	0.287114	0.293508	0.127635	0.291744	0.0451377	0.1598579
290	-3722.077	-3708.455	-13.6223	0.5533068	0.1742636	0.714447	0.365588	0.40249	0.206427	0.311216	0.480959	0.33078	0.657675	0.998328	0.0569037	0.261331	0.0403605	0.589177	0.0507647	0.0678722	0.108188	0.0177612	0.231709	0.2450004	-0.02572328	0.0102076	0.574771	0.00532103	0.00989706	0.390031	0.00977201	0.07026598	0.000191526	0.0203705	0.313259	3.66618	0.303037	0.294709	0.125429	0.276825	0.0445427	1.577497
300	-3714.88	-3705.762	-9.118326	0.3995764	0.1755962	0.162755	0.0584058	0.0477202	0.143276	0.158517	0.758142	0.568727	0.813443	0.249945	0.088102	0.263043	0.0966939	0.0937394	0.0941856	0.537537	0.302054	0.0276257	0.244838	0.2198263	-0.08962669	0.00954696	0.56292	0.00754208	0.009693	0.39782	0.0124778	0.121274	0.000203406	0.0209883	0.317055	3.66175	0.301656	0.300241	0.12299	0.275113	0.0316473	3.832049
310	-3724.685	-3704.761	-19.92399	0.3831845	0.1772738	0.461264	0.144638	0.0703607	0.203155	0.621757	0.963535	0.30062	0.900093	0.556329	0.070186	0.063464	0.123539	0.026408	0.0778688	0.528003	0.127556	1.28739	1.14667	0.3866744	0.06392821	0.00905225	0.53375	0.00902795	0.00867778	0.42766	0.0118312	0.08375658	0.000219133	0.0217786	0.321811	3.65619	0.309332	0.29303	0.128647	0.268992	0.1476848	0.5671307
