Iteration	Replicate_ID	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	0	-5917.752	-5918.459	0.7070476	0.9176611	1	0.0977327	0.28126	0.159873	0.804787	0.215316	0.350749	0.181443	0.285428	0.235902	0.178356	0.0885008	0.255758	0.242395	0.10462	0.127379	0.0995818	0.122726	0.217171	0.172346	0.003820777	0.280973	0.187437	0.155882	0.0577685	0.071189	0.246751	0.06409671	-1.758251	0.136954	0.476752	1	2.38629	0.0962836	0.537578	0.0382579	0.327881	0.06791749	0.9437438
1	1	-6018.922	-6009.588	-9.334135	0.5847734	1	0.423812	0.142991	0.219965	0.331883	0.451981	0.397908	0.161788	0.1311	0.270862	0.15252	0.591098	0.109563	0.83181	0.552695	0.235582	0.28283	0.403792	0.463452	0.3088953	0.1410947	0.180878	0.510653	0.0467909	0.246289	0.014948	0.000441541	0.01572241	-1.174753	0.136954	0.476752	1	2.38629	0.133143	0.439885	0.266902	0.160071	0.1568171	0.1002595
2	0	-4096.457	-4103.089	6.632082	0.6422801	0.2800749	0.0652418	0.093237	0.196931	0.166422	0.112346	0.199831	0.0602704	0.26569	0.134082	0.0955902	0.13691	0.362759	0.291185	0.0872982	0.168078	0.196017	0.0916493	0.297168	0.1485605	0.01523577	0.0520429	0.669929	0.0798919	0.0138806	0.0586985	0.125557	0.03924322	-1.906763	0.00381853	0.0891144	0.560773	3.34629	0.21011	0.317863	0.105877	0.36615	0.05447899	0.7203368
3	1	-4354.534	-4338.276	-16.25806	0.330588	0.2230309	0.143799	0.244433	0.372753	0.606144	0.675772	1.13705	0.361432	0.358638	0.265379	0.163026	0.55576	0.786915	0.166469	0.370474	0.731479	0.297234	0.282562	0.251099	0.2510363	0.05143124	0.0264453	0.721202	0.0375198	0.197489	0.0168505	0.000493238	0.04527074	-1.382158	0.00108347	0.0480284	0.441064	3.50982	0.239184	0.358151	0.0810164	0.321648	0.09670198	0.468147
4	0	-3890.603	-3889.106	-1.496455	0.5337342	0.2027057	0.116469	0.178782	0.73283	0.207192	0.190911	0.546433	0.0674475	0.260059	0.279572	0.205262	0.131435	0.0878601	0.121459	0.071086	0.122613	0.0869285	0.167404	0.185095	0.1471639	0.2968036	0.0359145	0.680493	0.0904219	0.0145328	0.134777	0.0438609	0.02781719	-1.916208	0.000582481	0.0353509	0.390683	3.57338	0.232225	0.334446	0.124787	0.308542	0.3246208	0.08569134
5	1	-4178.844	-4173.13	-5.713418	0.413624	0.2095648	0.458875	0.140421	0.678361	0.44376	0.470645	0.379903	0.185199	0.404843	0.308252	0.179824	0.2531	0.446891	0.146163	0.224173	0.194064	0.198698	0.17239	0.600563	0.2744448	0.0115154	0.0212565	0.84263	0.040888	0.0759869	0.0183632	0.000875959	0.02212483	-1.293005	0.00072795	0.0394692	0.408157	3.55165	0.203055	0.323023	0.0916902	0.382232	0.03364023	0.6576895
6	0	-3768.981	-3773.524	4.542898	0.5210226	0.2331242	0.022477	0.0740213	0.429241	0.162364	0.127218	0.352276	0.0397275	0.226987	0.124161	0.12554	0.0904912	0.20479	0.0759931	0.110687	0.158661	0.140988	0.153076	0.100662	0.1149905	0.03600707	0.0322353	0.610781	0.0468156	0.0115726	0.269397	0.0291978	0.06194888	-2.162906	0.00141631	0.054803	0.464521	3.47926	0.253028	0.329968	0.120527	0.296478	0.09795595	0.6324157
7	1	-4071.909	-4063.682	-8.22774	0.6649226	0.1630871	0.567936	0.120211	0.595923	0.239354	0.38975	0.231809	0.249257	0.455911	0.767311	0.190027	0.172485	0.41209	0.176046	0.281001	0.0704539	0.212641	0.179039	0.520301	0.2251375	0.0291311	0.0160043	0.892847	0.0181217	0.0528236	0.0194575	0.000746006	0.01283014	-1.491044	0.000111215	0.0155498	0.280853	3.70349	0.21529	0.345882	0.0794879	0.35934	0.04196124	0.3057617
8	0	-3756.376	-3758.104	1.728096	0.4966895	0.2131029	0.0647375	0.237635	0.466913	0.168183	0.15157	0.431619	0.0811071	0.285612	0.184358	0.266283	0.10248	0.176061	0.129979	0.113619	0.124062	0.135199	0.109599	0.197497	0.1354765	0.1764378	0.018202	0.632395	0.0484723	0.00858441	0.282037	0.0103085	0.06588268	-1.998957	0.000812086	0.04166	0.416982	3.54055	0.267595	0.338194	0.112432	0.281779	0.2423205	0.2718824
9	1	-3972.31	-3975.473	3.162971	0.6009964	0.1974498	0.283874	0.213697	0.277348	0.17483	0.237726	0.112488	0.372172	0.334536	0.2908	0.116237	0.171665	0.204034	0.297343	0.170343	0.14313	0.0741859	0.0975714	0.124013	0.2019712	0.04825612	0.0184508	0.85729	0.0184507	0.0648564	0.0387938	0.00215802	0.03690349	-1.59963	0.000485877	0.0323173	0.376969	3.59023	0.218732	0.314386	0.0834338	0.383448	0.08515962	0.433345
