Iteration	Posterior	Likelihood	Prior	age_ursinae	alpha_cytb	branch_rates[1]	branch_rates[2]	branch_rates[3]	branch_rates[4]	branch_rates[5]	branch_rates[6]	branch_rates[7]	branch_rates[8]	branch_rates[9]	branch_rates[10]	branch_rates[11]	branch_rates[12]	branch_rates[13]	branch_rates[14]	branch_rates[15]	branch_rates[16]	branch_rates[17]	branch_rates[18]	branch_rates_mean	diversification	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	extinction_rate	ln_branch_rates_mean	rates_cytb[1]	rates_cytb[2]	rates_cytb[3]	rates_cytb[4]	sf[1]	sf[2]	sf[3]	sf[4]	speciation_rate	turnover
0	-6018.922	-6009.588	-9.334135	0.5847734	1	0.423812	0.142991	0.219965	0.331883	0.451981	0.397908	0.161788	0.1311	0.270862	0.15252	0.591098	0.109563	0.83181	0.552695	0.235582	0.28283	0.403792	0.463452	0.3088953	0.1410947	0.180878	0.510653	0.0467909	0.246289	0.014948	0.000441541	0.01572241	-1.174753	0.136954	0.476752	1	2.38629	0.133143	0.439885	0.266902	0.160071	0.1568171	0.1002595
10	-4354.534	-4338.276	-16.25806	0.330588	0.2230309	0.143799	0.244433	0.372753	0.606144	0.675772	1.13705	0.361432	0.358638	0.265379	0.163026	0.55576	0.786915	0.166469	0.370474	0.731479	0.297234	0.282562	0.251099	0.2510363	0.05143124	0.0264453	0.721202	0.0375198	0.197489	0.0168505	0.000493238	0.04527074	-1.382158	0.00108347	0.0480284	0.441064	3.50982	0.239184	0.358151	0.0810164	0.321648	0.09670198	0.468147
20	-4178.844	-4173.13	-5.713418	0.413624	0.2095648	0.458875	0.140421	0.678361	0.44376	0.470645	0.379903	0.185199	0.404843	0.308252	0.179824	0.2531	0.446891	0.146163	0.224173	0.194064	0.198698	0.17239	0.600563	0.2744448	0.0115154	0.0212565	0.84263	0.040888	0.0759869	0.0183632	0.000875959	0.02212483	-1.293005	0.00072795	0.0394692	0.408157	3.55165	0.203055	0.323023	0.0916902	0.382232	0.03364023	0.6576895
30	-4071.909	-4063.682	-8.22774	0.6649226	0.1630871	0.567936	0.120211	0.595923	0.239354	0.38975	0.231809	0.249257	0.455911	0.767311	0.190027	0.172485	0.41209	0.176046	0.281001	0.0704539	0.212641	0.179039	0.520301	0.2251375	0.0291311	0.0160043	0.892847	0.0181217	0.0528236	0.0194575	0.000746006	0.01283014	-1.491044	0.000111215	0.0155498	0.280853	3.70349	0.21529	0.345882	0.0794879	0.35934	0.04196124	0.3057617
40	-3972.31	-3975.473	3.162971	0.6009964	0.1974498	0.283874	0.213697	0.277348	0.17483	0.237726	0.112488	0.372172	0.334536	0.2908	0.116237	0.171665	0.204034	0.297343	0.170343	0.14313	0.0741859	0.0975714	0.124013	0.2019712	0.04825612	0.0184508	0.85729	0.0184507	0.0648564	0.0387938	0.00215802	0.03690349	-1.59963	0.000485877	0.0323173	0.376969	3.59023	0.218732	0.314386	0.0834338	0.383448	0.08515962	0.433345
50	-3905.406	-3908.517	3.111444	0.6079159	0.1812487	0.097076	0.120484	0.192413	0.135487	0.145744	0.148889	0.130662	0.322283	0.159554	0.0767697	0.401318	0.252415	0.340413	0.421728	0.0934817	0.103054	0.134166	0.259474	0.1624205	0.09161692	0.0191062	0.840911	0.0123511	0.0685666	0.0571899	0.0018751	0.03878598	-1.817567	0.000259982	0.0237062	0.332982	3.64305	0.278177	0.303917	0.0773583	0.340547	0.1304029	0.2974319
60	-3750.219	-3751.056	0.8370069	0.5580903	0.2045185	0.199267	0.146361	0.229431	0.114489	0.1609	0.175997	0.162357	0.394597	0.281224	0.0671346	0.0619412	0.661537	0.171009	0.258024	0.20363	0.0747932	0.232493	0.179004	0.1910192	0.1142022	0.0126088	0.72347	0.00698512	0.0570169	0.198071	0.00184889	0.01044841	-1.655381	0.000618732	0.0364222	0.395347	3.56761	0.287328	0.304909	0.0986427	0.30912	0.1246507	0.08382153
70	-3726.651	-3732.248	5.59709	0.5149002	0.2459228	0.103157	0.0912327	0.216106	0.0984206	0.176322	0.137155	0.148936	0.319957	0.116045	0.0676858	0.195438	0.37567	0.172211	0.128811	0.207314	0.0625338	0.247754	0.368486	0.14207	0.03822864	0.008925	0.517467	0.0121446	0.0653991	0.393735	0.00232953	0.01099381	-1.951436	0.00192715	0.0637617	0.492808	3.4415	0.290684	0.286002	0.122328	0.300986	0.04922245	0.2233496
80	-3720.746	-3720.883	0.1375122	0.7680235	0.1714359	0.108102	0.17852	0.326225	0.113289	0.234237	0.102886	0.252539	0.386995	0.115545	0.0481874	0.0832599	0.672523	0.086922	0.0957991	0.147314	0.0353906	0.115516	0.260231	0.1516806	0.1146419	0.0122142	0.507653	0.0144249	0.044891	0.418692	0.00212525	0.01484399	-1.885978	0.000168042	0.0190894	0.305154	3.67559	0.306586	0.284413	0.126141	0.28286	0.1294858	0.1146379
90	-3715.885	-3716.668	0.7833008	0.6386665	0.1747699	0.154325	0.06794	0.225993	0.113363	0.18133	0.0734655	0.149345	0.559885	0.159378	0.0742223	0.0906261	0.333374	0.14563	0.0713896	0.083566	0.0652648	0.372933	0.217831	0.09856185	0.03406756	0.00853515	0.589848	0.00918359	0.0321205	0.359608	0.000704661	0.05995524	-2.317071	0.000195976	0.0206041	0.314702	3.6645	0.302837	0.30494	0.124599	0.267625	0.0940228	0.637667
